セクション,セクション_ja,項目,項目_ja,2026年モデル 40 TFSI ラグジュアリースポーツ,2026年モデル 45 TFSI プレミアムスポーツ,2026年モデル 45 TFSI quattro プレミアムスポーツ,2026年モデル 45 TFSI quattro プレミアムスポーツ＋エクスクルーシブパッケージ,2026年モデル 55 TFSI quattro エクスクルーシブスポーツ,2025年モデル 改良版 40 TFSI ラグジュアリースポーツ,2025年モデル 改良版 45 TFSI プレミアムスポーツ,2025年モデル 45 TFSI プレミアムスポーツ＋ベンチレーションパッケージ,2025年モデル 改良版 45 TFSI quattro プレミアムスポーツ,2025年モデル 45 TFSI quattro プレミアムスポーツ＋エクスクルーシブパッケージ,2025年モデル 改良版 55 TFSI quattro エクスクルーシブスポーツ,2025年モデル 改良版 55 TFSI quattro フラッグシップスポーツ,2027年モデル ベーシック
驾驶功能,運転機能,夜视系统,ナイトビジョン,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,○ （1.91万元）,-
驾驶功能,運転機能,辅助泊车入位,駐車アシスト機能,○ （4000元）,-,-,-,-,○ （4000元）,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,○ （7000元）,●,●,●,●,○ （7000元）,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯清洗装置,ヘッドライトウォッシャー,○,○,○,○,○,○,○,○,○,○,○,○,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,○ 全車,○ 全車,○ 全車,○ 全車,● 全車,○ 全車,○ 全車,○ 全車,○ 全車,○ 全車,● 全車,● 全車,-
天窗/玻璃,サンルーフ・ガラス,后风挡遮阳帘,リアウインドウサンシェード,○ （2000元）,○ （2000元）,○ （2000元）,●,-,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,●,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
○ ミラー記憶機能（2500元）
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
○ ミラー記憶機能（2500元）
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
○ ミラー記憶機能（2500元）
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
○ ミラー記憶機能（2500元）
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
○ ミラー記憶機能（2500元）
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能",-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,-
屏幕/系统,ディスプレイ・システム,中控下屏幕尺寸,センターコンソール下部画面サイズ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,● 8.6インチ,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,● Audi Connect,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶モニター,-,○ （7100元）,○ （7100元）,○ （7100元）,○ （7100元）,-,○ （7100元）,○ （7100元）,○ （7100元）,○ （7100元）,○ （7100元）,●,-
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディアコントロール,-,○,○,○,○,-,○,○,○,○,○,●,-
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,●,●,●,●,●,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作","● ドアコントロール
● エンジン始動
● エアコン操作",-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整（4000元）","● 手動上下＋前後調整
○ 電動上下＋前後調整（4000元）",● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整（4000元）","● 手動上下＋前後調整
○ 電動上下＋前後調整（4000元）","● 手動上下＋前後調整
○ 電動上下＋前後調整（4000元）",● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○ （1000元）,○ （1000元）,○ （1000元）,○,○,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○,○,○ （1000元）,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,○,○,●,●,●,○,○,○,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,○ （1.87万元）,●,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,-
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,○ 前席（3500元）,-
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●,●,●,●,●,●,●,●,-
座椅配置,シート装備,座椅材质,シート素材,"○ 本革（8200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（8200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革","○ 本革（7200元）
● 合成皮革",● 本革,-
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●,-,●,●,●,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,"○ シートヒーター（2500元）
○ ベンチレーション（6000元）","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","○ シートヒーター（2500元）
○ ベンチレーション（6000元）","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
○ ベンチレーション（6000元）
○ マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能",-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,○ 運転席（2500元）,○ 運転席（2500元）,● 運転席,● 運転席,● 運転席,○ 運転席（2500元）,○ 運転席（2500元）,○ 運転席（2500元）,● 運転席,● 運転席,● 運転席,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,○ （1700元）,○ （1700元）,○ （1700元）,●,●,○ （1700元）,○ （1700元）,○ （1700元）,○ （1700元）,○ （1700元）,○ （1700元）,●,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,"○ 背もたれ調整
○ 腰部調整","○ 背もたれ調整
○ 腰部調整","● 背もたれ調整
● 腰部調整","● 背もたれ調整
● 腰部調整",-,"○ 背もたれ調整
○ 腰部調整","● 背もたれ調整
○ 腰部調整","○ 背もたれ調整
○ 腰部調整","○ 背もたれ調整
○ 腰部調整","○ 背もたれ調整
○ 腰部調整","● 背もたれ調整
● 腰部調整",-
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,○ （4500元）,○ （4500元）,●,●,-,○ （4500元）,●,○ （4500元）,○ （4500元）,○ （4500元）,●,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター（2500元）,"○ ヒーター（2500元）
○ ベンチレーション
○ マッサージ","○ ヒーター（2500元）
○ ベンチレーション
○ マッサージ","● ヒーター
○ ベンチレーション
○ マッサージ","● ヒーター
○ ベンチレーション
○ マッサージ",○ ヒーター（2500元）,"○ ヒーター（2500元）
○ ベンチレーション
○ マッサージ","○ ヒーター（2500元）
○ ベンチレーション
○ マッサージ","○ ヒーター（2500元）
○ ベンチレーション
○ マッサージ","● ヒーター
○ ベンチレーション
○ マッサージ","● ヒーター
○ ベンチレーション
○ マッサージ","● シートヒーター
● ベンチレーション
● マッサージ機能",-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Bang & Olufsen（1.45万元）,○ Bang & Olufsen（1.45万元）,○ Bang & Olufsen（1.45万元）,● Bang & Olufsen,● Bang & Olufsen,○ Bang & Olufsen（1.45万元）,○ Bang & Olufsen（1.45万元）,○ Bang & Olufsen（1.45万元）,○ Bang & Olufsen（1.45万元）,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 10スピーカー
○ 16スピーカー","● 10スピーカー
○ 16スピーカー","● 10スピーカー
○ 16スピーカー",● 16スピーカー,● 16スピーカー,"● 10スピーカー
○ 16スピーカー","● 10スピーカー
○ 16スピーカー","● 10スピーカー
○ 16スピーカー","● 10スピーカー
○ 16スピーカー",● 16スピーカー,● 16スピーカー,● 16スピーカー,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,○ （5000元）,●,●,●,●,○ （5000元）,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,-,-,-,-,-,-,●,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,-
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,-
选装包,オプションパッケージ,深色玻璃包,スモークガラスパッケージ,-,-,-,-,-,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,-,-,-
选装包,オプションパッケージ,驾驶员侧座椅带记忆功能,運転席メモリー機能付きシート,-,-,-,-,-,○ オプション（2500元）,○ オプション（2500元）,-,-,-,-,-,-
选装包,オプションパッケージ,奥迪手机盒子,アウディスマホボックス,-,-,-,-,-,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,○ オプション（3500元）,-
选装包,オプションパッケージ,360度影像系统,360度カメラシステム,-,-,-,-,-,○ オプション（7000元）,-,-,-,-,-,-,-
选装包,オプションパッケージ,奥迪侧向辅助及奥迪预安全后部版,アウディサイドアシスト＆アウディプレセンスリア,-,-,-,-,-,○ オプション（14000元）,○ オプション（14000元）,-,○ オプション（14000元）,-,○ オプション（14000元）,-,-
