セクション,項目,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 40 TFSI 豪华动感型,奥迪A6L 2025款 改款 45 TFSI 臻选动感型,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,奥迪A6L 2025款 改款 45 TFSI quattro 臻选动感型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2025款 改款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 55 TFSI quattro 旗舰动感型,奥迪A6L 2027款 基本型,セクション,項目
天窓/ガラス,車の窓のワンタッチ昇降機能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,,天窓/ガラス,車の窓のワンタッチ昇降機能
天窓/ガラス,車窓の挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,,天窓/ガラス,車窓の挟み込み防止機能
天窓/ガラス,サイドウィンドウの多重防音ガラス,○ 全车,○ 全车,● 全车,○ 全车,○ 全车,○ 全车,○ 全车,○ 全车,● 全车,● 全车,,天窓/ガラス,サイドウィンドウの多重防音ガラス
天窓/ガラス,後面のサンシェードカーテン,○ (2000元),●,,○ (2000元),○ (2000元),○ (2000元),○ (2000元),●,●,,,天窓/ガラス,後面のサンシェードカーテン
天窓/ガラス,後部のサイドプライバシーガラス,○ (2000元),○ (2000元),●,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),●,●,,天窓/ガラス,後部のサイドプライバシーガラス
天窓/ガラス,車内の化粧鏡,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,● 主驾驶+照明灯● 副驾驶+照明灯,,天窓/ガラス,車内の化粧鏡
天窓/ガラス,リアワイパー,,,,,,,,,,,,天窓/ガラス,リアワイパー
天窓/ガラス,センサー式ワイパー機能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,,天窓/ガラス,センサー式ワイパー機能
サイドミラー,外後視鏡の機能,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,● 电动调节● 电动折叠○ 后视镜记忆 (2500元)● 后视镜加热● 倒车自动下翻● 锁车自动折叠○ 自动防眩目,● 电动调节● 电动折叠○ 后视镜记忆 (2500元)● 后视镜加热● 倒车自动下翻● 锁车自动折叠○ 自动防眩目,● 电动调节● 电动折叠○ 后视镜记忆 (2500元)● 后视镜加热● 倒车自动下翻● 锁车自动折叠○ 自动防眩目,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,● 电动调节● 电动折叠● 后视镜记忆● 后视镜加热● 倒车自动下翻● 锁车自动折叠● 自动防眩目,,サイドミラー,外後視鏡の機能
画面/システム,中央制御カラースクリーン,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,,画面/システム,中央制御カラースクリーン
画面/システム,中央コントロールスクリーンのサイズ,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,,画面/システム,中央コントロールスクリーンのサイズ
画面/システム,中央コントロール下のスクリーンサイズ,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,,画面/システム,中央コントロール下のスクリーンサイズ
画面/システム,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,,画面/システム,Bluetooth/車載電話
画面/システム,携帯電話の相互接続/ミラーリング,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,,画面/システム,携帯電話の相互接続/ミラーリング
画面/システム,音声認識制御システム,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,● 多媒体系统● 导航● 电话● 空调,,画面/システム,音声認識制御システム
画面/システム,車載スマートシステム,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,,画面/システム,車載スマートシステム
画面/システム,後部液晶スクリーン,○ (7100元),○ (7100元),○ (7100元),,○ (7100元),○ (7100元),○ (7100元),○ (7100元),○ (7100元),●,,画面/システム,後部液晶スクリーン
画面/システム,後部座席でのマルチメディアコントロール,○,○,○,,○,○,○,○,○,●,,画面/システム,後部座席でのマルチメディアコントロール
スマート配置,車両ネットワーク,●,●,●,●,●,●,●,●,●,●,,スマート配置,車両ネットワーク
スマート配置,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,,スマート配置,4G/5Gネットワーク
スマート配置,OTAアップデート,,,,,,,,,,,,スマート配置,OTAアップデート
スマート配置,スマートフォンアプリのリモート機能,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,● 车门控制● 车辆启动● 空调控制,,スマート配置,スマートフォンアプリのリモート機能
ハンドル/内側のバックミラー,ステアリングホイールの素材,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,,ハンドル/内側のバックミラー,ステアリングホイールの素材
ハンドル/内側のバックミラー,ステアリングホイールの位置調整,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节○ 电动上下+前后调节 (4000元),● 手动上下+前后调节○ 电动上下+前后调节 (4000元),● 手动上下+前后调节○ 电动上下+前后调节 (4000元),● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,,ハンドル/内側のバックミラー,ステアリングホイールの位置調整
ハンドル/内側のバックミラー,シフト方式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,,ハンドル/内側のバックミラー,シフト方式
ハンドル/内側のバックミラー,マルチファンクションステアリングホイール,●,●,●,●,●,●,●,●,●,●,,ハンドル/内側のバックミラー,マルチファンクションステアリングホイール
ハンドル/内側のバックミラー,ステアリングホイールのシフトパドル,●,●,●,●,●,●,●,●,●,●,,ハンドル/内側のバックミラー,ステアリングホイールのシフトパドル
ハンドル/内側のバックミラー,ステアリングホイール加熱,○ (1000元),○,○,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○,○,○ (1000元),,ハンドル/内側のバックミラー,ステアリングホイール加熱
ハンドル/内側のバックミラー,「方向盘记忆」は「ステアリングホイールのメモリ」と訳すことができます。これは、車の方向盤に関連する設定や機能を記憶することを指している可能性があります。,●,●,●,○,○,○,●,●,●,●,,ハンドル/内側のバックミラー,「方向盘记忆」は「ステアリングホイールのメモリ」と訳すことができます。これは、車の方向盤に関連する設定や機能を記憶することを指している可能性があります。
ハンドル/内側のバックミラー,運転用コンピュータのディスプレイ画面,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,,ハンドル/内側のバックミラー,運転用コンピュータのディスプレイ画面
ハンドル/内側のバックミラー,フル液晶メータークラスター,●,●,●,●,●,●,●,●,●,●,,ハンドル/内側のバックミラー,フル液晶メータークラスター
ハンドル/内側のバックミラー,液晶メーターのサイズ,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,,ハンドル/内側のバックミラー,液晶メーターのサイズ
ハンドル/内側のバックミラー,HUDヘッドアップディスプレイ,○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),●,,ハンドル/内側のバックミラー,HUDヘッドアップディスプレイ
ハンドル/内側のバックミラー,内後視鏡の機能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,,ハンドル/内側のバックミラー,内後視鏡の機能
ハンドル/内側のバックミラー,ETC装置は「ETC装置」と日本語でそのまま表現されます。ETCは「電子料金収受システム」の略称で、高速道路などで自動的に料金を支払うための装置です。,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),,ハンドル/内側のバックミラー,ETC装置は「ETC装置」と日本語でそのまま表現されます。ETCは「電子料金収受システム」の略称で、高速道路などで自動的に料金を支払うための装置です。
車内充電,マルチメディア/充電インターフェース,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,,車内充電,マルチメディア/充電インターフェース
車内充電,USB/Type-Cポートの数,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,,車内充電,USB/Type-Cポートの数
車内充電,スマートフォンのワイヤレス充電機能,○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),○ 前排 (3500元),,車内充電,スマートフォンのワイヤレス充電機能
車内充電,荷物室の12V電源インターフェース,●,●,●,●,●,●,●,●,●,●,,車内充電,荷物室の12V電源インターフェース
座席配置,座椅材质は「座席の素材」または「椅子の素材」と翻訳できます。,○ 真皮 (7200元)● 仿皮,○ 真皮 (7200元)● 仿皮,○ 真皮 (7200元)● 仿皮,○ 真皮 (8200元)● 仿皮,○ 真皮 (7200元)● 仿皮,○ 真皮 (7200元)● 仿皮,○ 真皮 (7200元)● 仿皮,○ 真皮 (7200元)● 仿皮,○ 真皮 (7200元)● 仿皮,● 真皮,,座席配置,座椅材质は「座席の素材」または「椅子の素材」と翻訳できます。
座席配置,スポーツスタイルのシート,●,●,●,●,●,,●,●,●,,,座席配置,スポーツスタイルのシート
座席配置,運転席の調整方法,● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),,座席配置,運転席の調整方法
座席配置,副座席の調節方法,● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),● 前后调节● 靠背调节● 高低调节(4向)● 腰部支撑(4向),,座席配置,副座席の調節方法
座席配置,運転席/助手席の電動調節,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,,座席配置,運転席/助手席の電動調節
座席配置,前席の座席機能,● 加热○ 通风 (6000元)○ 按摩,● 加热○ 通风 (6000元)○ 按摩,● 加热○ 通风 (6000元)○ 按摩,○ 加热 (2500元)○ 通风 (6000元),● 加热○ 通风 (6000元)○ 按摩,● 加热● 通风○ 按摩,● 加热○ 通风 (6000元)○ 按摩,● 加热○ 通风 (6000元)○ 按摩,● 加热○ 通风 (6000元)○ 按摩,● 加热● 通风● 按摩,,座席配置,前席の座席機能
座席配置,電動シートのメモリ機能,● 驾驶位,● 驾驶位,● 驾驶位,○ 驾驶位 (2500元),○ 驾驶位 (2500元),○ 驾驶位 (2500元),● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,,座席配置,電動シートのメモリ機能
座席配置,副操縦士席の後部座席にある調整ボタン,○ (1700元),●,●,○ (1700元),○ (1700元),○ (1700元),○ (1700元),○ (1700元),○ (1700元),●,,座席配置,副操縦士席の後部座席にある調整ボタン
座席配置,第二排座椅调节は「第二列の座席調整」という意味です。,○ 靠背调节○ 腰部调节,● 靠背调节● 腰部调节,● 靠背调节● 腰部调节,,○ 靠背调节○ 腰部调节,● 靠背调节○ 腰部调节,○ 靠背调节○ 腰部调节,○ 靠背调节○ 腰部调节,○ 靠背调节○ 腰部调节,● 靠背调节● 腰部调节,,座席配置,第二排座椅调节は「第二列の座席調整」という意味です。
座席配置,第二列の座席は電動調整可能です。,○ (4500元),●,●,,○ (4500元),●,○ (4500元),○ (4500元),○ (4500元),●,,座席配置,第二列の座席は電動調整可能です。
座席配置,第二列の座席の機能,○ 加热 (2500元)○ 通风○ 按摩,● 加热○ 通风○ 按摩,● 加热○ 通风○ 按摩,○ 加热 (2500元),○ 加热 (2500元)○ 通风○ 按摩,○ 加热 (2500元)○ 通风○ 按摩,○ 加热 (2500元)○ 通风○ 按摩,● 加热○ 通风○ 按摩,● 加热○ 通风○ 按摩,● 加热● 通风● 按摩,,座席配置,第二列の座席の機能
座席配置,後部座席の倒し方,,,,,,,,,,,,座席配置,後部座席の倒し方
座席配置,前後中央アームレスト,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,,座席配置,前後中央アームレスト
座席配置,後部座席のカップホルダー,●,●,●,●,●,●,●,●,●,●,,座席配置,後部座席のカップホルダー
音響/車内の灯光,スピーカーブランド名,○ Bang & Olufsen (1.45万元),● Bang & Olufsen,● Bang & Olufsen,○ Bang & Olufsen (1.45万元),○ Bang & Olufsen (1.45万元),○ Bang & Olufsen (1.45万元),○ Bang & Olufsen (1.45万元),● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,,音響/車内の灯光,スピーカーブランド名
音響/車内の灯光,スピーカーの数量,● 10喇叭○ 16喇叭,● 16喇叭,● 16喇叭,● 10喇叭○ 16喇叭,● 10喇叭○ 16喇叭,● 10喇叭○ 16喇叭,● 10喇叭○ 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,,音響/車内の灯光,スピーカーの数量
音響/車内の灯光,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,,音響/車内の灯光,タッチ式読書灯
音響/車内の灯光,車内の環境照明,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,,音響/車内の灯光,車内の環境照明
エアコン/冷蔵庫,エアコンの温度制御方法,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,,エアコン/冷蔵庫,エアコンの温度制御方法
エアコン/冷蔵庫,後部独立エアコン,●,●,●,○ (5000元),●,●,●,●,●,●,,エアコン/冷蔵庫,後部独立エアコン
エアコン/冷蔵庫,後部座席のエアコン吹き出し口,●,●,●,●,●,●,●,●,●,●,,エアコン/冷蔵庫,後部座席のエアコン吹き出し口
エアコン/冷蔵庫,温度分区コントロール,●,●,●,●,●,●,●,●,●,●,,エアコン/冷蔵庫,温度分区コントロール
エアコン/冷蔵庫,車載空気清浄機,○,○,○,○,○,○,○,○,○,○,,エアコン/冷蔵庫,車載空気清浄機
エアコン/冷蔵庫,車内PM2.5フィルター装置,○,○,○,○,○,○,○,○,○,○,,エアコン/冷蔵庫,車内PM2.5フィルター装置
エアコン/冷蔵庫,負イオン発生器,○,○,○,○,○,○,○,○,○,○,,エアコン/冷蔵庫,負イオン発生器
エアコン/冷蔵庫,車内芳香装置,○,○,○,○,○,○,○,○,○,○,,エアコン/冷蔵庫,車内芳香装置
エアコン/冷蔵庫,空気質量監視,,,,,,,,,,●,,エアコン/冷蔵庫,空気質量監視
色彩,外観の色,,,,,,,,,,,,色彩,外観の色
色彩,内装の色,,,,,,,,,,,,色彩,内装の色
選択可能なパッケージ,暗い色のガラスバッグ,,,,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),,,,選択可能なパッケージ,暗い色のガラスバッグ
選択可能なパッケージ,運転席のシートにはメモリー機能があります。,,,,○ 选配 (2500元),○ 选配 (2500元),,,,,,,選択可能なパッケージ,運転席のシートにはメモリー機能があります。
選択可能なパッケージ,アウディのスマートフォンボックス,,,,○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),○ 选配 (3500元),,選択可能なパッケージ,アウディのスマートフォンボックス
選択可能なパッケージ,360度映像システム,,,,○ 选配 (7000元),,,,,,,,選択可能なパッケージ,360度映像システム
選択可能なパッケージ,アウディの側方支援およびアウディ前方安全機能の後部版,,,,○ 选配 (14000元),○ 选配 (14000元),,○ 选配 (14000元),,○ 选配 (14000元),,,選択可能なパッケージ,アウディの側方支援およびアウディ前方安全機能の後部版
選択可能なパッケージ,アウディ高解像度マトリクスLEDヘッドライト,,,,○ 选配 (16800元),○ 选配 (16800元),○ 选配 (16800元),○ 选配 (16800元),○ 选配 (16800元),○ 选配 (16800元),,,選択可能なパッケージ,アウディ高解像度マトリクスLEDヘッドライト
選択可能なパッケージ,都市運転支援パッケージ,,,,○ 选配 (23300元),○ 选配 (23300元),○ 选配 (23300元),○ 选配 (23300元),○ 选配 (23300元),○ 选配 (23300元),,,選択可能なパッケージ,都市運転支援パッケージ
選択可能なパッケージ,旅行運転補助パッケージ,,,,○ 选配 (26000元),○ 选配 (26000元),○ 选配 (26000元),○ 选配 (26000元),○ 选配 (26000元),○ 选配 (26000元),○ 选配 (26000元),,選択可能なパッケージ,旅行運転補助パッケージ
選択可能なパッケージ,前席の快適なシート,,,,,○ 选配 (3200元),,○ 选配 (3200元),○ 选配 (3200元),○ 选配 (3200元),,,選択可能なパッケージ,前席の快適なシート
