セクション,セクション_ja,項目,項目_ja,2026年モデル 210悦享版,2026年モデル 210レーザーレーダー版,2026年モデル 530舒享版,2026年モデル 605悦享版,2026年モデル 605レーザーレーダー版
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8295P
智能化配置,スマート機能装備,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作、ウインドウ操作、車両始動、充電管理、エアコン制御、車両状態確認・診断、車両位置特定・車両探索,● ドア操作、ウインドウ操作、車両始動、充電管理、エアコン制御、車両状態確認・診断、車両位置特定・車両探索,● ドア操作、ウインドウ操作、車両始動、充電管理、エアコン制御、車両状態確認・診断、車両位置特定・車両探索,● ドア操作、ウインドウ操作、車両始動、充電管理、エアコン制御、車両状態確認・診断、車両位置特定・車両探索,● ドア操作、ウインドウ操作、車両始動、充電管理、エアコン制御、車両状態確認・診断、車両位置特定・車両探索
智能化配置,スマート機能装備,车载KTV,車載カラオケ機能,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○,○,○,○,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席3個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 60W,● 60W,● 15W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 15W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ 加熱、通気,○ 加熱、通気,○ 加熱、通気,○ 加熱、通気,○ 加熱、通気
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,○ 256色,○ 256色,○ 256色,○ 256色,○ 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,○,○,○,○,○
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,○,○,○,○,○
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,○,○,○,○,○
颜色,カラー,外观颜色,外装色,メタリックブラック、サンルーフグレー、琉璃グリーン ￥2000、パールホワイト、トゥンドラグレー、曦露パープル ￥2000,メタリックブラック、サンルーフグレー、琉璃グリーン ￥2000、パールホワイト、トゥンドラグレー、曦露パープル ￥2000,メタリックブラック、サンルーフグレー、琉璃グリーン ￥2000、パールホワイト、トゥンドラグレー、曦露パープル ￥2000,メタリックブラック、サンルーフグレー、琉璃グリーン ￥2000、パールホワイト、トゥンドラグレー、曦露パープル ￥2000,メタリックブラック、サンルーフグレー、琉璃グリーン ￥2000、パールホワイト、トゥンドラグレー、曦露パープル ￥2000
颜色,カラー,内饰颜色,内装色,ブラック/赤霞オレンジ ブラック/星垣パープル,ブラック/赤霞オレンジ ブラック/星垣パープル,ブラック/赤霞オレンジ ブラック/星垣パープル,ブラック/赤霞オレンジ ブラック/星垣パープル,ブラック/赤霞オレンジ ブラック/星垣パープル
选装包,オプションパッケージ,全配套装,フル装備パッケージ,"○ 含む：20インチトライデントホイール、ブランドタイヤ、有機シリコンシート素材、前席シートベンチレーション、前席シートヒーター、ステアリングヒーター、前後連続点灯可能なライト、8種類のスマートライトシグナル、256色音楽連動アンビエントライト、AQS空気質管理システム、PM2.5濃度検知。オプション（10,000元）","○ 含む：20インチトライデントホイール、ブランドタイヤ、有機シリコンシート素材、前席シートベンチレーション、前席シートヒーター、ステアリングヒーター、前後連続点灯可能なライト、8種類のスマートライトシグナル、256色音楽連動アンビエントライト、AQS空気質管理システム、PM2.5濃度検知。オプション（10,000元）","○ 含む：20インチトライデントホイール、ブランドタイヤ、有機シリコンシート素材、前席シートベンチレーション、前席シートヒーター、ステアリングヒーター、前後連続点灯可能なライト、8種類のスマートライトシグナル、256色音楽連動アンビエントライト、AQS空気質管理システム、PM2.5濃度検知。オプション（10,000元）","○ 含む：20インチトライデントホイール、ブランドタイヤ、有機シリコンシート素材、前席シートベンチレーション、前席シートヒーター、ステアリングヒーター、前後連続点灯可能なライト、8種類のスマートライトシグナル、256色音楽連動アンビエントライト、AQS空気質管理システム、PM2.5濃度検知。オプション（10,000元）","○ 含む：20インチトライデントホイール、ブランドタイヤ、有機シリコンシート素材、前席シートベンチレーション、前席シートヒーター、ステアリングヒーター、前後連続点灯可能なライト、8種類のスマートライトシグナル、256色音楽連動アンビエントライト、AQS空気質管理システム、PM2.5濃度検知。オプション（10,000元）"
