セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5T DCT ラブラドール版,2026年モデル 1.5T DCT ボーダーコリー版,2026年モデル 2.0T DCT チュウカデンエンケン版,2024年モデル 1.5T DCT ラブラドール版,2024年モデル 1.5T DCT ボーダーコリー版,2024年モデル 2.0T DCT チュウカデンエンケン版
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,運転席／助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● ヒーター ベンチレーション,● ヒーター ベンチレーション,○ ヒーター,● ヒーター,● ヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 10スピーカー,● 10スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,●,●,-,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,●,●,-,-,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,-,-,-
颜色,カラー,外观颜色,外装色,ランユエホワイト ゲンヤブラック インセクトグレー ￥4000 コケグリーン 霧ブルー,ランユエホワイト ゲンヤブラック インセクトグレー ￥4000 コケグリーン 霧ブルー,ランユエホワイト ゲンヤブラック インセクトグレー ￥4000 コケグリーン 霧ブルー,ホワイトドッグ ブラックドッグ グレードッグ オレンジドッグ ブラウンドッグ,ホワイトドッグ ブラックドッグ グレードッグ オレンジドッグ ブラウンドッグ,ホワイトドッグ ブラックドッグ グレードッグ オレンジドッグ ブラウンドッグ
颜色,カラー,内饰颜色,内装色,ゲンブブラック ブラック／霧氷グレー グレー／砂丘ベージュ,ゲンブブラック ブラック／霧氷グレー グレー／砂丘ベージュ,ゲンブブラック ブラック／霧氷グレー グレー／砂丘ベージュ,ブラック ブラック／オレンジ,ブラック ブラック／オレンジ,ブラック ブラック／オレンジ
选装包,オプションパッケージ,娱乐包,エンターテインメントパッケージ,-,○ 含む：ラブサウンド10スピーカー、独立アンプ、スペアタイヤ（T155/85 R18）、Aピラーグリップ オプション（2000元）,-,-,-,-
选装包,オプションパッケージ,科技包,テクノロジーパッケージ,-,○ 含む：ブラインドスポットモニター、レーンチェンジアシスト、緊急車線維持、後退側方警告、後退側方ブレーキ、後方衝突警告、ドアオープン警告、統合パーキングアシスト、リモートパーキング、前6レーダー／後6レーダー オプション（3500元）,○ 含む：ブラインドスポットモニター、レーンチェンジアシスト、緊急車線維持、後退側方警告、後退側方ブレーキ、後方衝突警告、ドアオープン警告、統合パーキングアシスト、リモートパーキング、前6レーダー／後6レーダー オプション（3500元）,-,-,-
选装包,オプションパッケージ,AT胎,ATタイヤ,-,-,○ 含む：5本スポークアーマーホイール、2番タイヤ（ATタイヤ） オプション（1500元）,-,-,-
选装包,オプションパッケージ,娱乐包2,エンターテインメントパッケージ2,-,-,○ 含む：ラブサウンド10スピーカー、独立アンプ、スペアタイヤ（T155/85 R18） オプション（2000元）,-,-,-
选装包,オプションパッケージ,舒享包,コンフォートパッケージ,-,-,-,○ 含む：ETC非停止電子料金収受システム、前席シートヒーター オプション（1000元）,-,-
选装包,オプションパッケージ,舒享包2,コンフォートパッケージ2,-,-,-,-,○ 含む：ETC非停止電子料金収受システム、助手席電動調整 オプション（1000元）,-
选装包,オプションパッケージ,自动泊车科技包,自動駐車テクノロジーパッケージ,-,-,-,-,○ 含む：全自動統合パーキング、リモートパーキング、バックトレース、前方レーダー（前方低速緊急ブレーキ）セットオプション（2000元）,-
选装包,オプションパッケージ,HWA高速智驾辅助包,HWA高速運転支援パッケージ,-,-,-,-,○ 含む：HWA高速道路インテリジェント運転支援、ドアオープン警告、緊急回避支援、前方横断警告システム、前方横断ブレーキシステム、緊急車線維持、レーンチェンジアシスト、後方衝突警告、スマート回避、バック側方警告、バック側方ブレーキ、電子防眩目ミラー オプション（3500元）,○ 含む：HWA高速道路インテリジェント運転支援、ドアオープン警告、緊急回避支援、前方横断警告システム、前方横断ブレーキシステム、緊急車線維持、レーンチェンジアシスト、後方衝突警告、スマート回避、バック側方警告、バック側方ブレーキ、電子防眩目ミラー オプション（3500元）
选装包,オプションパッケージ,四号中网,4番グリル,-,-,-,-,-,○ 含む：対応する前後バンパー、フェンダースタイルのオプション（価格未定）
选装包,オプションパッケージ,轮胎包,タイヤパッケージ,-,-,-,-,-,○ 含む：ATタイヤのオプション（1500元）
