セクション,項目,零跑C16 2026款 增程 200尊享版 6座,零跑C16 2026款 增程 280激光雷达版 6座,零跑C16 2026款 增程 280激光雷达智尊版 6座,零跑C16 2026款 增程 280激光雷达智尊版 5座,零跑C16 2026款 纯电 580尊享版 6座,零跑C16 2026款 纯电 630激光雷达版 6座,零跑C16 2026款 纯电 630激光雷达智尊版 6座,零跑C16 2026款 纯电 630激光雷达智尊版 5座,零跑C16 2024款 增程 200智享版,零跑C16 2024款 增程 200尊享版,零跑C16 2024款 增程 200激光雷达版,零跑C16 2024款 纯电 520智享版,零跑C16 2024款 纯电 520尊享版,零跑C16 2024款 纯电 520激光雷达版,零跑C16 2024款 纯电 580尊享版,零跑C16 2024款 纯电 580激光雷达版
驾驶硬件,前方感知摄像头像素,● 200万,● 800万,● 800万,● 800万,● 200万,● 800万,● 800万,● 800万,● 200万,● 200万,● 800万,● 200万,● 200万,● 800万,● 200万,● 800万
驾驶硬件,环境感知摄像头像素,-,● 300万,● 300万,● 300万,-,● 300万,● 300万,● 300万,-,-,-,-,-,-,-,-
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,-,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 3个,● 3个,● 5个,● 3个,● 5个
驾驶硬件,激光雷达品牌,-,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,-,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,-,-,● HESAI禾赛科技,-,-,● HESAI禾赛科技,-,● HESAI禾赛科技
驾驶硬件,激光雷达型号,-,● AT128,● AT128,● AT128,-,● AT128,● AT128,● AT128,-,-,● AT128,-,-,● AT128,-,● AT128
驾驶硬件,激光雷达数量,-,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 1个,-,-,● 1个,-,-,● 1个,-,● 1个
驾驶硬件,激光雷达线数,-,● 128线,● 128线,● 128线,-,● 128线,● 128线,● 128线,-,-,● 128线,-,-,● 128线,-,● 128线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,高精地图,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,-,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,-,●,●,●,-,●,●,●,-,-,●,-,-,●,-,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,-,●,●,●,-,-,●,-,-,●,-,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,-,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,-,-,● 高速路段,-,-,● 高速路段,-,● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,-,-,-,-,●,●,●,-,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙,● 蓝牙钥匙 NFC/RFID钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,-,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-
外观/防盗,主动闭合式进气格栅,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗,不可开启全景天窗 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
屏幕/系统,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持Carlink,● 支持Carlink,● 支持Carlink,● 支持Carlink,● 支持Carlink,● 支持Carlink,● 支持Carlink,● 支持Carlink
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗
屏幕/系统,语音助手唤醒词,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS
屏幕/系统,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
屏幕/系统,后排液晶屏幕,○,○,●,●,○,○,●,●,○,○,○,○,○,○,○,○
屏幕/系统,后排液晶屏幕尺寸,○ 15.6英寸,○ 15.6英寸,● 15.6英寸,● 15.6英寸,○ 15.6英寸,○ 15.6英寸,● 15.6英寸,● 15.6英寸,○ 15.6英寸,○ 15.6英寸,○ 15.6英寸,○ 15.6英寸,○ 15.6英寸,○ 15.6英寸,○ 15.6英寸,○ 15.6英寸
屏幕/系统,后排多媒体屏幕数量,○ 1个,○ 1个,● 1个,● 1个,○ 1个,○ 1个,● 1个,● 1个,○ 1个,○ 1个,○ 1个,○ 1个,○ 1个,○ 1个,○ 1个,○ 1个
屏幕/系统,后排控制多媒体,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G,● 4G,● 4G,● 5G,● 4G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 真皮,● 真皮,● 皮质,● 皮质,● 真皮,● 真皮,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排2个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排2个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 15W,● 50W,● 50W,● 50W,● 15W,● 50W,● 50W,● 50W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮,● 真皮,● 仿皮,● 仿皮,● 真皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,-,● 加热 通风,● 加热 通风,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,● 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,-,● 加热 通风,● 加热 通风,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风
