セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5L CVT 行政版,2026年モデル 1.5L MT 快適版,2026年モデル 1.5L CVT 豪華版,2026年モデル 1.5L CVT 尊厳版,2024年モデル 1.5L CVT 尊厳版,2023年モデル 1.5L MT 快適版,2023年モデル 1.5L MT 優越版,2023年モデル 1.5L CVT 豪華版,2023年モデル 1.5L CVT 尊厳版,2023年モデル 1.5L CVT 旗艦版,2026年モデル 低出力版
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB SD,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,● 運転席/助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,● 加熱（運転席のみ）,● 加熱,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,● 一体倒し,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調節,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,-
颜色,カラー,外观颜色,外装色,栄麟グレー 明白,栄麟グレー 明白,栄麟グレー 明白,栄麟グレー 明白,栄麟グレー 明白 早安イエロー,栄麟グレー 明白 早安イエロー,栄麟グレー 明白 早安イエロー,栄麟グレー 明白 早安イエロー,栄麟グレー 明白 早安イエロー,栄麟グレー 明白 早安イエロー,-
颜色,カラー,内饰颜色,内装色,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,キャラメルブラウン,-
