セクション,セクション_ja,項目,項目_ja,2026年モデル L 300TSI DSG ファッショナブルタイプ,2026年モデル L 300TSI DSG エリートタイプ,2026年モデル L 300TSI DSG ラグジュアリータイプ,2026年モデル 3000万台記念セレクト 300TSI DSG フェニックス版,2026年モデル 3000万台記念セレクト 300TSI DSG スーパーエディション,2025年モデル 改良版 200TSI DSG フェニックス版,2025年モデル 改良版 300TSI DSG フェニックス版,2025年モデル 改良版3 300TSI DSG スーパーエディション,2025年モデル 改良版2 300TSI DSG エクセレント版
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● IQ.コネクティビティ,● IQ.コネクティビティ,● IQ.コネクティビティ,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 6,● 12,● 12,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 64,● 128,● 128,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 5G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,-,-,-,-,-,-
智能化配置,スマート機能装備,V2X通讯,V2X通信,-,●,●,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,○,○,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,-,"○ （1,000元）",-,-,"○ （1,000元）",●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 8インチ,8インチ 10.25インチ,● 8インチ,● 8インチ,8インチ 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕分辨率（px）,メーターパネル画面解像度（px）,● 1280×480,● 1280×480,● 1280×480,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○ （3000元）,○ （3000元）,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,○ 7.11インチ,○ 7.11インチ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,手動防眩目 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,-,-,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● USB,● USB Type-C,● USB,● USB,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個,● 前席3個／後席2個,● 前席1個,● 前席1個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,-,○ 前席（500元）,-,-,○ 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 40W,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 本革／ファブリックコンビ,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向）,前後調整 リクライニング調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 リクライニング調整 高さ調整（2方向） 腰部サポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 リクライニング調整,前後調整 リクライニング調整 高さ調整（2方向）,前後調整 リクライニング調整 高さ調整（2方向）,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整 高さ調整（2方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席／助手席,運転席／助手席（2000元）,-,○ 運転席／助手席－（800元）,-,-,○ 運転席／助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,○ 加熱・通風,○ 加熱・通風,-,○ 加熱（1000元）,-,-,○ 加熱・通風,○ 加熱・通風
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 30色,● 30色,-,● 10色,-,-,● 10色,● 10色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,マニュアルエアコン オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,-,●,●,-,●,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,●,-,-,-,-,○,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,○,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,-,-,-,-,○,●
颜色,カラー,外观颜色,外装色,ポーラーホワイト マンガンブラック,ポーラーホワイト カイザーゴールド マンガンブラック モーニングミストグリーン ホエールシャークブルー インクチタングレー,ポーラーホワイト カイザーゴールド マンガンブラック モーニングミストグリーン ホエールシャークブルー インクチタングレー,ポーラーホワイト マンガンブラック,ポーラーホワイト マンガンブラック,ポーラーホワイト マンガンブラック,クリスタルシルバー ポーラーホワイト マンガンブラック シェルゴールド,クリスタルシルバー ポーラーホワイト マンガンブラック シェルゴールド パールホワイト ￥2000,クリスタルシルバー マンガンブラック シェルゴールド パールホワイト ￥2000
颜色,カラー,内饰颜色,内装色,ブラック ブラック／グレー,ブラック ブラック／ブラウン ブラック／グレー ブラウン／グレー,ブラック ブラック／ベージュ ブラック／グレー グレー／ベージュ,ブラック,ブラック,ブラック,ブラック,ブラック ブラック／ブラウン ブラック／グレー,ブラック ブラック／ブラウン ブラック／グレー
选装包,オプションパッケージ,行车记录仪&AR导航,ドライブレコーダー＆ARナビゲーション,-,○ 含む：ドライブレコーダー＆ARナビ、DVRドライブレコーダー、AR拡張実景ナビ（オプション 1000元）,○ 含む：ドライブレコーダー＆ARナビ、DVRドライブレコーダー、AR拡張実景ナビ（オプション 1000元）,-,-,-,-,-,-
选装包,オプションパッケージ,冬季包,冬季パッケージ,-,○ 含む：ステアリングヒーター機能、前席シートヒーター個別調整（オプション 2000元）,○ 含む：ステアリングヒーター機能、前席シートヒーター個別調整（オプション 2000元）,-,-,-,-,-,-
选装包,オプションパッケージ,夏季包,夏季パッケージ,-,○ 含む：前席シートベンチレーション個別調整、助手席6方向電動調整（オプション 3000元）,○ 含む：前席シートベンチレーション個別調整、助手席6方向電動調整（オプション 3000元）,-,-,-,-,-,-
选装包,オプションパッケージ,IQ.Pilot增强驾驶辅助包,IQ.Pilot強化運転支援パッケージ,-,○ 含む：IQ.Pilot強化運転支援、IPA＆RPAスマートパーキング、360度全景カメラシステム（オプション 12000元）,○ 含む：IQ.Pilot強化運転支援、IPA＆RPAスマートパーキング、360度全景カメラシステム（オプション 12000元）,-,-,-,-,-,-
选装包,オプションパッケージ,矩阵大灯,マトリクスヘッドライト,-,-,○ 含む：IQ.Lightマトリックスヘッドライト、MDFSインテリジェントダイナミックライトアシスト、AFSヘッドライト連動ステアリング機能（オプション 価格未定）,-,-,-,-,-,-
选装包,オプションパッケージ,智能无钥匙进入及一键启动包,スマートキー＆ワンタッチスタートパッケージ,-,-,-,○ 含む：スマートキー＆ワンタッチスタートパッケージ（オプション 1200元）,-,-,-,-,-
