セクション,セクション_ja,項目,項目_ja,2025年モデル DM i 智驾版 80KM 豪華型,2025年モデル DM i 智驾版 80KM 尊貴型,2025年モデル DM i 智驾版 120KM 尊栄型,2025年モデル DM i 智驾版 120KM 尊享型,2025年モデル DM i 智驾版 120KM 旗艦型,2025年モデル EV 470KM 尊栄型,2025年モデル EV 545KM 尊享型,2025年モデル EV 545KM 旗艦型
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズグリル,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 助手席,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席 助手席,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,● 雨量感知式,● 雨量感知式,-,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,-,-,-,-,-,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● BYD D100,● BYD D100,● BYD D100,● BYD D100,● BYD D100,● BYD D100,● BYD D100,● BYD D100
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置特定/車両検索 オーナーサービス（充電器・ガソリンスタンド・駐車場検索等） メンテナンス予約
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,-,-,-,● 12インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 自動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,● 前席,● 前席,-,-,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,● 15W,● 15W,-,-,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,-,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,-,-,● シートヒーター ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,● 運転席,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,●,●,-,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,-,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,● 多色照明,-,-,● 多色照明
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,-,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,-,-,-,-,-,●
颜色,カラー,外观颜色,外装色,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン,雪域ホワイト アトランティスグレー シンハイグリーン 暖色スモークブラウン
颜色,カラー,内饰颜色,内装色,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック,ライトサンドグレー ディープブラック
