セクション,セクション_ja,項目,項目_ja,2025年モデル 702 ロングレンジ Ultra,2025年モデル 820 超ロングレンジ Ultra,2025年モデル 750 4WD 高性能 Ultra,2025年モデル 750 4WD 鵬翼 Ultra
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）
座椅配置,シート装備,副座椅调节方式,助手席調整方式,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター,● ヒーター,● ヒーター,● ヒーター
座椅配置,シート装備,零重力座椅,ゼログラビティシート,○ 助手席 (6000元),○ 助手席 (6000元),○ 助手席 (6000元),○ 助手席 (6000元)
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 23スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●
颜色,カラー,外观颜色,外装色,新月シルバー 星暮パープル リズムイエロー ￥6000 星芒ブルー ￥6000 星瀚グリーン ￥6000 微星グレー,新月シルバー 星暮パープル リズムイエロー ￥6000 星芒ブルー ￥6000 星瀚グリーン ￥6000 微星グレー,新月シルバー 星暮パープル リズムイエロー ￥6000 星芒ブルー ￥6000 星瀚グリーン ￥6000 微星グレー,マット新月シルバー
颜色,カラー,内饰颜色,内装色,ブラック／気宇グレー ブラック／深空グレー 星球パープル,ブラック／気宇グレー ブラック／深空グレー 星球パープル,ブラック／気宇グレー ブラック／深空グレー 星球パープル,オレンジ輝グレー
选装包,オプションパッケージ,前排无框车门,前席フレームレスドア,-,-,-,"○ 含む：非ペンウィングドア、前後席静音電動吸着ドア（総額22,000元割引） オプション（価格未定）"
