セクション,項目,锋兰达 2026款 2.0L 智能电混双擎 领先版,锋兰达 2026款 2.0L 智能电混双擎 领先PLUS版,锋兰达 2026款 2.0L 智能电混双擎 豪华版,锋兰达 2026款 2.0L 智能电混双擎 豪华PLUS版,锋兰达 2026款 2.0L 智能电混双擎 尊贵版,锋兰达 2026款 2.0L CVT舒适版,锋兰达 2026款 2.0L CVT舒适PLUS版,锋兰达 2026款 2.0L CVT豪华版,锋兰达 2026款 2.0L CVT豪华PLUS版,锋兰达 2024款 2.0L 智能电混双擎 领先版,锋兰达 2024款 2.0L 智能电混双擎 豪华版,锋兰达 2024款 2.0L 智能电混双擎 运动版,锋兰达 2024款 2.0L 智能电混双擎 尊贵版,锋兰达 2024款 2.0L CVT精英plus版,锋兰达 2024款 2.0L CVT领先plus版,锋兰达 2024款 2.0L CVT豪华版,锋兰达 2024款 2.0L CVT运动版,锋兰达 2024款 2.0L CVT尊贵版
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● LED,● LED,● 卤素,● LED,● LED,● LED,● 卤素,● 卤素,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● LED,● LED,● 卤素,● LED,● LED,● LED,● 卤素,● 卤素,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,-,-,● 矩阵式,● 矩阵式,-,● 矩阵式,● 矩阵式,● 矩阵式,-,-,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,● LED,● LED,-,-,-,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,-,-,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,-,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 10.25英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,-,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗,-,-,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗
屏幕/系统,语音助手唤醒词,-,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,-,● 你好，小悦,● 你好，小悦,● 你好，小悦,-,-,-,● 你好，丰田,-,-,-,-,● 你好，丰田
屏幕/系统,语音免唤醒词,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,-,● 双区域,● 双区域,● 双区域,● 双区域,-,● 双区域,● 双区域,● 双区域,-,-,-,● 单区域,-,-,-,-,● 单区域
屏幕/系统,语音连续识别,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,可见即可说,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,声纹识别,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,应用商店,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,车机智能芯片,-,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,-,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,-,-,-,-,-,-,-,-,-
智能化配置,车联网,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
智能化配置,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,-,-,-,● 4G,-,-,-,-,● 4G
智能化配置,OTA升级,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
智能化配置,手机APP远程功能,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 塑料,● 塑料,● 真皮,● 塑料,● 塑料,● 塑料,● 塑料,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 7英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 7英寸,● 7英寸,● 7英寸,● 12.3英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○ (600元),○,○ (600元),○ (600元),○ (600元),○ (600元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,-,-,● 前排,● 前排,-,-,-,-,-,-,-,-,-
车内充电,手机无线充电功率,-,-,● 50W,● 50W,● 50W,-,-,● 50W,● 50W,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,-,● 主 / 副-,● 主 / 副-,● 主 / 副-,-,-,● 主 / 副-,● 主 / 副-,● 主 / 副-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 64色,● 64色,● 64色,-,-,● 64色,● 64色,-,● 单色,● 单色,● 单色,-,-,● 单色,● 单色,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,●,●,●,-,-,●,●,-,●,●,●,-,-,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
颜色,外观颜色,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 沙漠金 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 墨晶黑 铂金珍珠白 ￥2000 黑色/铂金珍珠白 ￥4000 沙漠金 黑色/沙漠金 ￥2000 钛星灰,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 沙漠金 琉璃金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金,水晶银 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 萤石蓝 黑色/铂金珍珠白 ￥4000 黑色/珊瑚红 沙漠金 琉璃金 黑色/琉璃金 黑色/沙漠金
颜色,内饰颜色,星空黑,星空黑,星空黑 黑色/象牙白,星空黑 黑色/象牙白,星空黑 黑色/象牙白,星空黑,星空黑,星空黑 黑色/象牙白,星空黑 黑色/象牙白,黑色 黑色/灰色,黑色 黑色/灰色 黑色/栗色,黑色 黑色/栗色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色 黑色/栗色,黑色/栗色,黑色 黑色/灰色
选装包,运动套件,-,-,-,-,-,-,-,-,-,-,○ 包含：动感环绕式车身同色包围、高亮黑前格栅、后保险杠套件、亮银色金属质感装饰条套件、运动风格专属设计座椅 选配 (暂无价格),-,-,-,-,○ 包含：动感环绕式车身同色包围、高亮黑前格栅、后保险杠套件、亮银色金属质感装饰条套件、运动风格专属设计座椅 选配 (暂无价格),-,-
选装包,运动套件,-,-,-,-,-,-,-,-,-,○ 包含：动感环绕式车身同色包围、高亮黑前格栅、后保险杠套件、亮银色金属质感装饰条套件 选配 (暂无价格),-,-,-,-,-,-,-,-
