セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L インテリジェントハイブリッド 先進版,2026年モデル 2.0L インテリジェントハイブリッド 先進PLUS版,2026年モデル 2.0L インテリジェントハイブリッド 豪華版,2026年モデル 2.0L インテリジェントハイブリッド 豪華PLUS版,2026年モデル 2.0L インテリジェントハイブリッド プレミアム版,2026年モデル 2.0L CVT 快適版,2026年モデル 2.0L CVT 快適PLUS版,2026年モデル 2.0L CVT 豪華版,2026年モデル 2.0L CVT 豪華PLUS版,2024年モデル 2.0L インテリジェントハイブリッド 先進版,2024年モデル 2.0L インテリジェントハイブリッド 豪華版,2024年モデル 2.0L インテリジェントハイブリッド スポーツ版,2024年モデル 2.0L インテリジェントハイブリッド プレミアム版,2024年モデル 2.0L CVT エリートplus版,2024年モデル 2.0L CVT 先進plus版,2024年モデル 2.0L CVT 豪華版,2024年モデル 2.0L CVT スポーツ版,2024年モデル 2.0L CVT プレミアム版
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,パンク修理キット（フルサイズではない）,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない,● フルサイズタイヤではない
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）,● タイヤ空気圧モニター（TPMS）
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツ／エコモード切替,● スポーツ／エコモード切替,● スポーツ／エコモード切替,● スポーツ／エコモード切替,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツ／エコモード切替,● スポーツ／エコモード切替,● スポーツ／エコモード切替,● スポーツ／エコモード切替,● スポーツ／エコモード切替
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,-,-,● 前後エアバッグ,● 前後エアバッグ,-,-,-,● 前後エアバッグ,-,-,-,-,● 前後エアバッグ
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● 360度パノラマビューカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,● バックカメラ,● 360度パノラマビューカメラ,-,-,● バックカメラ,● バックカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 2個,● 2個,● 2個,● 5個,● 2個,● 2個,● 2個,● 2個,● 1個,● 2個,● 2個,● 5個,-,● 1個,● 2個,● 2個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,-,● 8個,● 8個,● 8個,-,-,● 8個,● 8個,-,-,-,● 4個,-,-,-,-,● 4個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,-,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,-,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,-,-,-,-,-,-,-,-,● 高徳（Gaode）,-,-,-,-,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアパッケージ,-,-,-,-,-,-,-,-,-,○ スポーティスタイル,○ スポーティスタイル,● スポーティスタイル,-,-,○ スポーティスタイル,○ スポーティスタイル,● スポーティスタイル,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,●,●,-,-,-,●,-,-,●,●,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,●,●,-,-,-,●,-,-,●,●,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,-,●,●,-,-,-,●,-,-,●,●,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,-,-,● マトリクス式,● マトリクス式,-,● マトリクス式,● マトリクス式,● マトリクス式,-,-,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,● LED,● LED,-,-,-,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-,-,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ／ダウン,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整,● 電動調整,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整,● 電動調整,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整,● 電動調整,● 電動調整,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 10.25インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,-,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,-,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,-,-,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、小悦,● こんにちは、小悦,● こんにちは、小悦,● こんにちは、小悦,-,● こんにちは、小悦,● こんにちは、小悦,● こんにちは、小悦,-,-,-,● こんにちは、トヨタ,-,-,-,-,● こんにちは、トヨタ
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,-,● シングルゾーン,-,-,-,-,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,-,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,-,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,-,● 4G対応,● 4G対応,● 4G対応,● 4G対応,-,● 4G対応,● 4G対応,● 4G対応,-,-,-,● 4G対応,-,-,-,-,● 4G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,●,●,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両検索・点検/整備予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● プラスチック,● 本革,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
