セクション,セクション_ja,項目,項目_ja,2024年モデル インテリジェントハイブリッド 1.8L 先進版,2024年モデル インテリジェントハイブリッド 1.8L 豪華版,2024年モデル インテリジェントハイブリッド 1.8L ナイト版,2024年モデル インテリジェントハイブリッド 1.8L スポーツ版,2024年モデル 185T CVT 豪華版,2024年モデル 185T CVT スポーツ版,2023年モデル TNGA 1.5L CVT 進取版,2023年モデル TNGA 1.5L CVT 先進版,2023年モデル TNGA 1.5L CVT 豪華版,2023年モデル TNGA 1.5L CVT スポーツ版,2023年モデル インテリジェントハイブリッド 1.8L 先進版,2023年モデル インテリジェントハイブリッド 1.8L 豪華版,2023年モデル インテリジェントハイブリッド 1.8L スポーツ版
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,● 前席,● 前席,-,● 前席,● 前席
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,-,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,-,● 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,-,-,-,-,-,● マルチメディアシステム ナビ 電話 サンルーフ パワーウインドウ,-,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,-,● こんにちは、トヨタ,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,-,● シングルゾーン,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,-,●,-,-,-,-,-,●,-,-,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,-,● 4G,-,-,-,-,-,● 4G,-,-,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,●,●,●,-,-,-,●,-,-,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約,● ドア操作 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,●,●,-,-,-,-,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 4.2インチ,● 4.2インチ,● 7インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 7インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーターパネル画面素材,● TFT,● TFT,● TFT,● TFT,-,-,-,-,-,-,● TFT,● TFT,● TFT
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○,○,○,○,○,○,○ （600元）,○ （600元）,○ （600元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● USB,● USB,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,布地 合成皮革,布地 合成皮革,● 布地,● 合成皮革,布地 合成皮革,● 合成皮革,● 布地,布地 合成皮革,布地 合成皮革,● 合成皮革,布地 合成皮革,布地 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,●,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,● 運転席／助手席,-,-,-,-,-,● 運転席／助手席,-,-,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,スカイホワイト コーラルレッド ブラックパール プラチナパール ￥2000 オパールシルバー チタングレー,スカイホワイト コーラルレッド ブラックパール プラチナパール ￥2000 オパールシルバー チタングレー,スカイホワイト ブラックパール プラチナパール ￥2000,スカイホワイト コーラルレッド ブラックパール プラチナパール ￥2000 オパールシルバー チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー,スカイホワイト コーラルレッド ネビュラパープル ブラックパール プラチナパール ￥2000 オパールシルバー レッドフレア ￥2000 チタングレー
颜色,カラー,内饰颜色,内装色,ブラック,ブラック,ブラック,ブラック ブラック／ブラウン,ブラック ブラック／ブラウン ブラック／グレー,ブラック ブラック／ブラウン ブラック／グレー,ブラック,ブラック ブラック／ブラウン,ブラック ブラック／ブラウン,ブラック ブラック／ブラウン,ブラック ブラック／ブラウン,ブラック ブラック／ブラウン,ブラック ブラック／ブラウン
选装包,オプションパッケージ,高级皮质选装包,高級レザーオプションパッケージ,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,-,-,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,-,-,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,-,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,○ 含む：高級レザーシート／内側ドアアームレスト／前席中央アームレスト、高級ソフトタッチ前ドアトリム（オプション 2000元）,-
