セクション,セクション_ja,項目,項目_ja,2026年モデル TFSI 150kW ラグジュアリー,2026年モデル TFSI 150kW プレミアムquattro,2026年モデル TFSI 150kW インテリジェント,2026年モデル TFSI 150kW インテリジェントquattro,2026年モデル TFSI quattro 200kW フラッグシップ,2026年モデル TFSI quattro 200kW フラッグシップ インテリジェント,2026年モデル TFSI quattro 150kW 初回限定版
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ （8500元）,○ （8500元）,○ （8500元）,○ （8500元）,○ （8500元）,●,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,○ 13.1インチ,○ 13.1インチ,○ 13.1インチ,○ 13.1インチ,○ 13.1インチ,● 13.1インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 40W,● 40W,● 40W,● 40W,● 40W,● 40W,● 40W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／スエード素材ミックス
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● 加熱 ベンチレーション マッサージ,加熱 ベンチレーション マッサージ ヘッドレストスピーカー,加熱 ベンチレーション マッサージ ヘッドレストスピーカー,加熱 ベンチレーション マッサージ ヘッドレストスピーカー,● 加熱 ベンチレーション マッサージ ヘッドレストスピーカー,● 加熱 ベンチレーション マッサージ ヘッドレストスピーカー,● 加熱 ヘッドレストスピーカー
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,○ Bang & Olufsen（8000元）,○ Bang & Olufsen（8000元）,○ Bang & Olufsen（8000元）,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,8スピーカー 20スピーカー,8スピーカー 20スピーカー,8スピーカー 20スピーカー,● 20スピーカー,● 20スピーカー,● 20スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,○,○,○,○,●,●,○
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,睿驭白 尋跡グリーン ￥6000 ハリケーングレー 智韻ブルー ￥6000 曙光ベージュ ￥6000 極影ブラック,睿驭白 尋跡グリーン ￥6000 ハリケーングレー 智韻ブルー ￥6000 曙光ベージュ ￥6000 極影ブラック,睿驭白 尋跡グリーン ￥6000 ハリケーングレー 智韻ブルー ￥6000 曙光ベージュ ￥6000 極影ブラック,睿驭白 尋跡グリーン ￥6000 ハリケーングレー 智韻ブルー ￥6000 曙光ベージュ ￥6000 極影ブラック,睿驭白 尋跡グリーン ￥6000 ハリケーングレー 智韻ブルー ￥6000 曙光ベージュ ￥6000 極影ブラック,睿驭白 尋跡グリーン ￥6000 ハリケーングレー 智韻ブルー ￥6000 曙光ベージュ ￥6000 極影ブラック,ハリケーングレー 競速レッド
颜色,カラー,内饰颜色,内装色,ファントムブラック ミストグレー,燃境レッド 駆光ベージュ ミッドナイトブラック,燃境レッド 駆光ベージュ ミッドナイトブラック,燃境レッド 駆光ベージュ ミッドナイトブラック,燃境レッド 駆光ベージュ ミッドナイトブラック,燃境レッド 駆光ベージュ ミッドナイトブラック,赤刃ブラック
选装包,オプションパッケージ,静享车窗升级套装,静音ウィンドウアップグレードキット,○ 含む：前側窓二重防音ガラス、後側窓スモークガラス オプション（500元）,○ 含む：前側窓二重防音ガラス、後側窓スモークガラス オプション（500元）,○ 含む：前側窓二重防音ガラス、後側窓スモークガラス オプション（500元）,○ 含む：前側窓二重防音ガラス、後側窓スモークガラス オプション（500元）,○ 含む：前側窓二重防音ガラス、後側窓スモークガラス オプション（500元）,-,○ 含む：前側窓二重防音ガラス、後側窓スモークガラス オプション（500元）
选装包,オプションパッケージ,19吋轮毂升级套装,19インチホイールアップグレードキット,○ 含む：19インチ5本スポークアルミホイール×2、245/40 R19タイヤ、赤ブレーキキャリパー オプション（4500元）,-,-,-,-,-,-
选装包,オプションパッケージ,20吋轮毂升级套装,20インチホイールアップグレードキット,○ 含む：20インチ5本スポークRSアルミホイール×2、245/35 R20タイヤ、赤ブレーキキャリパー オプション（8000元）,○ 含む：20インチ5本スポークRSアルミホイール×2、245/35 R20タイヤ オプション（3500元）,○ 含む：20インチ5本スポークRSアルミホイール×2、245/35 R20タイヤ、赤ブレーキキャリパー オプション（4500元）,○ 含む：20インチ5本スポークRSアルミホイール×2、245/35 R20タイヤ オプション（3500元）,-,-,-
选装包,オプションパッケージ,贯穿式OLED尾灯,貫通型OLEDテールランプ,○ 含む：貫通式OLEDテールランプ（8種類のデジタルサイン対応）オプション（8500元）,○ 含む：貫通式OLEDテールランプ（8種類のデジタルサイン対応）オプション（8500元）,○ 含む：貫通式OLEDテールランプ（8種類のデジタルサイン対応）オプション（8500元）,○ 含む：貫通式OLEDテールランプ（8種類のデジタルサイン対応）オプション（8500元）,-,-,○ 含む：貫通式OLEDテールランプ（8種類のデジタルサイン対応）オプション（8500元）
