セクション,セクション_ja,項目,項目_ja,2026年モデル 3000万台記念 330TSI 炫目,2026年モデル 3000万台記念 ワゴン 330TSI 猎目,2026年モデル 3000万台記念 380TSI 夺目,2026年モデル 3000万台記念 ワゴン 380TSI 猎心,2025年モデル 改良版 330TSI 炫目 众享款,2025年モデル 改良版 ワゴン 330TSI 猎目 众享款,2025年モデル 改良版 380TSI 夺目 众享款,2025年モデル 改良版 380TSI 耀目 众享款,2025年モデル 改良版 ワゴン 380TSI 猎心 众享款,2025年モデル 改良版 ワゴン 380TSI 猎风 众享款
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,●,-,●,-,●,-,-,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付きウォッシャーノズル,-,-,○,○,-,-,○,○,○,○
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● 本革,● レザー調,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,●,-,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●,-,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,○,○,-,-,○,○,○,○
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● レザー／アルカンターラコンビ,● レザー／アルカンターラコンビ,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター付き,○ ヒーター付き,● ヒーター ベンチレーション,● ヒーター ベンチレーション,○ ヒーター付き,○ ヒーター付き,● ヒーター ベンチレーション,ヒーター ベンチレーション マッサージ（運転席のみ）,● ヒーター ベンチレーション,ヒーター ベンチレーション マッサージ（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,○ ヒーター付き,○ ヒーター付き,-,-,○ ヒーター付き,○ ヒーター付き,○ ヒーター付き,○ ヒーター付き
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,8スピーカー 12スピーカー,8スピーカー 12スピーカー,8スピーカー 12スピーカー,8スピーカー 12スピーカー,8スピーカー 12スピーカー,8スピーカー 12スピーカー,8スピーカー 12スピーカー,● 12スピーカー,8スピーカー 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー ネプチューンブルー マット塗装,ポーラーホワイト ギャラクシーグレー,ポーラーホワイト ギャラクシーグレー ネプチューンブルー マット塗装,ポーラーホワイト ギャラクシーグレー
颜色,カラー,内饰颜色,内装色,チタンブラック,チタンブラック,チタンブラック,チタンブラック,チタンブラック,チタンブラック,ブラック／ブラウン チタンブラック,チタンブラック,ブラック／ブラウン チタンブラック,チタンブラック
选装包,オプションパッケージ,安全包,安全パッケージ,○ 含む：ACC 3.0 高度自動追従クルーズコントロール、Front Assist 衝突回避支援システム オプション（価格未定）,○ 含む：ACC 3.0 高度自動追従クルーズコントロール、Front Assist 衝突回避支援システム オプション（価格未定）,-,-,○ 含む：ACC 3.0 高度自動追従クルーズコントロール、Front Assist 衝突回避支援システム オプション（価格未定）,○ 含む：ACC 3.0 高度自動追従クルーズコントロール、Front Assist 衝突回避支援システム オプション（価格未定）,-,-,-,-
选装包,オプションパッケージ,高级灯光包,高級ライトパッケージ,○ 含む：（全天候）全LEDデュアルプロジェクターヘッドライト、AFSヘッドライト可変照射機能、MDFSインテリジェントダイナミックライトアシスト、フロントグリルアンビエントライト オプション（価格未定）,○ 含む：（全天候）全LEDデュアルプロジェクターヘッドライト、AFSヘッドライト可変照射機能、MDFSインテリジェントダイナミックライトアシスト、フロントグリルアンビエントライト オプション（価格未定）,-,-,○ 含む：（全天候）全LEDデュアルプロジェクターヘッドライト、AFSヘッドライト可変照射機能、MDFSインテリジェントダイナミックライトアシスト、フロントグリルアンビエントライト オプション（価格未定）,○ 含む：（全天候）全LEDデュアルプロジェクターヘッドライト、AFSヘッドライト可変照射機能、MDFSインテリジェントダイナミックライトアシスト、フロントグリルアンビエントライト オプション（価格未定）,-,-,-,-
选装包,オプションパッケージ,无钥匙进入包,キーレスエントリーパッケージ,○ 含む：4ドアキーレスエントリー、エクステリアアンビエントライト、ボディサイド照明付き オプション（1500元）,○ 含む：4ドアキーレスエントリー、エクステリアアンビエントライト、ボディサイド照明付き オプション（1500元）,-,-,○ 含む：4ドアキーレスエントリー、エクステリアアンビエントライト、ボディサイド照明付き オプション（1500元）,○ 含む：4ドアキーレスエントリー、エクステリアアンビエントライト、ボディサイド照明付き オプション（1500元）,-,-,-,-
选装包,オプションパッケージ,运动车轮包,スポーツホイールパッケージ,○ 含む：19インチROSARIOアルミホイール 245/40 R19、TPMSアクティブタイヤ空気圧監視システム オプション（2000元）,○ 含む：19インチPROPELLERアルミホイール 245/40 R19、TPMSアクティブタイヤ空気圧監視システム オプション（価格未定）,-,-,○ 含む：19インチROSARIOアルミホイール 245/40 R19、TPMSアクティブタイヤ空気圧監視システム オプション（2000元）,○ 含む：19インチROSARIOアルミホイール 245/40 R19、TPMSアクティブタイヤ空気圧監視システム オプション（2000元）,-,-,-,-
选装包,オプションパッケージ,全景影像&变道辅助包,パノラマ映像＆レーンチェンジアシストパッケージ,-,-,○ 含む：IQ. Top View 360°全方位カメラ、Side Assist 車線変更支援 オプション（3700元）,○ 含む：IQ. Top View 360°全方位カメラ、Side Assist 車線変更支援 オプション（3700元）,-,-,○ 含む：IQ. Top View 360°全方位カメラ、Side Assist 車線変更支援 オプション（3700元）,-,○ 含む：IQ. Top View 360°全方位カメラ、Side Assist 車線変更支援 オプション（3700元）,-
选装包,オプションパッケージ,豪华音响包,ラグジュアリーオーディオパッケージ,-,-,○ 含む：Harman/Kardon高級サラウンドサウンド 12スピーカー、ピュアカーボンファイバーインテリアトリム オプション（5000元）,○ 含む：Harman/Kardon高級サラウンドサウンド 12スピーカー、本木目インテリアトリム オプション（4500元）,-,-,○ 含む：Harman/Kardon高級サラウンドサウンド 12スピーカー、ピュアカーボンファイバーインテリアトリム オプション（5000元）,-,○ 含む：Harman/Kardon高級サラウンドサウンド 12スピーカー、本木目インテリアトリム オプション（4500元）,-
选装包,オプションパッケージ,黑色外饰包,ブラックエクステリアパッケージ,-,-,-,-,○ 含む：ブラックルーフ、ブラック外側ミラー オプション（価格未定）,○ 含む：ブラックルーフ、ブラック外側ミラー オプション（価格未定）,-,-,-,-
选装包,オプションパッケージ,冬日暖心包,冬季快適パッケージ,-,-,-,-,-,-,○ 含む：フロントウインドウコーティング加熱、フロントウインドウ洗浄ノズル加熱、後部座席加熱機能 オプション（2500元）,○ 含む：フロントウインドウコーティング加熱、フロントウインドウ洗浄ノズル加熱、後部座席加熱機能 オプション（2500元）,○ 含む：フロントウインドウコーティング加熱、フロントウインドウ洗浄ノズル加熱、後部座席加熱機能 オプション（2500元）,○ 含む：フロントウインドウコーティング加熱、フロントウインドウ洗浄ノズル加熱、後部座席加熱機能 オプション（2500元）
选装包,オプションパッケージ,技术包,テクノロジーパッケージ,-,-,-,-,-,-,○ 含む：DCCダイナミックシャシーコントロール オプション（5000元）,-,○ 含む：DCCダイナミックシャシーコントロール オプション（5000元）,-
选装包,オプションパッケージ,豪华包,ラグジュアリーパッケージ,-,-,-,-,-,-,-,○ 含む：運転席マッサージ機能 オプション（価格未定）,-,○ 含む：運転席マッサージ機能 オプション（価格未定）
