セクション,セクション_ja,項目,項目_ja,2025年モデル 1.6T DCT 卓越版,2025年モデル 1.6T DCT 尚,2025年モデル 1.6T DCT 智,2025年モデル 1.6T DCT 睿,2025年モデル 2.0T DCT 馳,2025年モデル 2.0T DCT 劲,2025年モデル 2.0T AT 御+,2024年モデル 1.6T DCT 卓越版
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,-,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,● 前席,-,● 前席,● 前席,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター,● シートヒーター ベンチレーション（運転席のみ）,-,● シートヒーター ベンチレーション（運転席のみ）,● シートヒーター ベンチレーション（運転席のみ）,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,● 運転席,-,● 運転席,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,●,●,●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,● SONY（ソニー）,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 多色,● 多色,● 多色,-,● 多色,● 多色,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,-,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,●,-,●,●,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,●,●,●,-,●,●,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,●,●,●,-,●,●,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,○,○,○,●,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,●,-,●,●,-
颜色,カラー,外观颜色,外装色,ダイヤモンドシルバー パールホワイト グラファイトブラック クリスタルグレー,ダイヤモンドシルバー パールホワイト グラファイトブラック,ダイヤモンドシルバー パールホワイト グラファイトブラック クリスタルグレー,ダイヤモンドシルバー パールホワイト グラファイトブラック クリスタルグレー,ダイヤモンドシルバー パールホワイト グラファイトブラック 翡翠グリーン クリスタルグレー,ダイヤモンドシルバー パールホワイト グラファイトブラック 翡翠グリーン クリスタルグレー,ダイヤモンドシルバー パールホワイト グラファイトブラック 翡翠グリーン クリスタルグレー,ダイヤモンドシルバー パールホワイト
颜色,カラー,内饰颜色,内装色,蒼海グレー,蒼海グレー,蒼海グレー,蒼海グレー,流砂ブラウン,蒼海グレー 流砂ブラウン,流砂ブラウン,蒼海グレー
