セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 後輪駆動版,2025年モデル 改良版 ロングレンジ後輪駆動版,2025年モデル 改良版 ロングレンジ全輪駆動版,2025年モデル 改良版 高性能全輪駆動版,2025年モデル 後輪駆動版,2025年モデル ロングレンジ後輪駆動版,2025年モデル ロングレンジ全輪駆動版,2025年モデル 高性能全輪駆動版
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載システム用スマートチップ,● AMD Ryzen,● AMD Ryzen,● AMD Ryzen,● AMD Ryzen,● AMD Ryzen,● AMD Ryzen,● AMD Ryzen,● AMD Ryzen
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）,● ドア操作、ウインドウ操作、車両始動、充電管理、ライト操作、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認・診断、車両位置特定・車両探索、オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索など）
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● タッチスクリーンシフト,● タッチスクリーンシフト,● タッチスクリーンシフト,● タッチスクリーンシフト,● タッチスクリーンシフト,● タッチスクリーンシフト,● タッチスクリーンシフト,● タッチスクリーンシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,●,-,-,-,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）,● 前後調整、リクライニング、高さ調整（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 9スピーカー,● 9スピーカー,● 17スピーカー,● 17スピーカー,● 9スピーカー,● 9スピーカー,● 17スピーカー,● 17スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,ブラック ￥8000、パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000,パールホワイト ￥8000、ディープシーブルー ￥8000、スターグレイ、ファイアレッド ￥12000、クイックシルバー ￥12000、スターライトブラック ￥8000
颜色,カラー,内饰颜色,内装色,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック,ブラック／ホワイト ￥8000、ブラック
选装包,オプションパッケージ,基础辅助驾驶,基本運転支援,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）,○ 含む：アクティブクルーズコントロールと車線内インテリジェントアシストステアリング。オプション（無料）
选装包,オプションパッケージ,增强版自动辅助驾驶功能,強化版自動運転支援機能,"○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）","○ 含む：「ベーシックオートパイロット」の全機能に加え、インテリジェントナビゲーションアシスト、インテリジェントレーンチェンジ、インテリジェントパーキング、ベーシックサモンおよび高度なインテリジェントサモン機能を搭載。オプション（32,000元）"
选装包,オプションパッケージ,智能辅助驾驶,インテリジェント運転支援,"○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）","○ 含む：「ベーシックオートパイロット」と「拡張オートパイロット」パッケージの全機能。後日インテリジェントオートパイロット機能を提供予定。将来的には、ドライバーの介入がほとんどない状態でほとんどの運転操作を自動で行うことが可能になります。オプション（64,000元）"
