セクション,セクション_ja,項目,項目_ja,2026年モデル 45周年記念版 40 TFSI スタイリッシュスポーツ,2026年モデル 45周年記念版 40 TFSI ラグジュアリースポーツ,2026年モデル 45周年記念版 45 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 40 TFSI スタイリッシュスポーツ,2025年モデル 45周年記念版 40 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 45 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 45 TFSI プレミアムスポーツ,2026年モデル ベーシック,2026年モデル ハイパワーベーシック
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 Android Auto対応,● CarPlay対応 Android Auto対応,● CarPlay対応 Android Auto対応,● CarPlay対応 Android Auto対応,● CarPlay対応 Android Auto対応,● CarPlay対応 Android Auto対応,● CarPlay対応 Android Auto対応,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,○,●,●,○,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Audi connect,● Audi connect,● Audi connect,● Audi connect,● Audi connect,● Audi connect,● Audi connect,-,-
屏幕/系统,ディスプレイ・システム,触屏振动反馈,タッチスクリーン振動フィードバック,●,●,●,●,●,●,●,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,-,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,4G 5G,4G 5G,4G 5G,4G 5G,4G 5G,4G 5G,4G 5G,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,○,●,●,○,●,●,●,-,-
智能化配置,スマート機能装備,V2X通讯,V2X通信,●,●,●,○ (2400元),○ (2400元),○ (2400元),○ (2400元),-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,● ドアコントロール エンジン始動 エアコン操作 車両状態確認/診断,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○ (1.79万元),○ (1.79万元),-,○ (1.79万元),○ (1.79万元),○ (1.79万元),-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,手動防眩目 自動防眩目 (1500元),● 自動防眩目,● 自動防眩目,手動防眩目 自動防眩目 (1500元),● 自動防眩目,● 自動防眩目,● 自動防眩目,-,-
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,-,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●,●,●,●,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,-,-
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,-,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,-,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ 加熱機能 (2300元),● 加熱機能,● 加熱機能,○ 加熱機能 (2300元),● 加熱機能,● 加熱機能,● 加熱機能,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,○ 運転席 (2500元),● 運転席,● 運転席,○ 運転席 (2500元),○ 運転席 (2500元),● 運転席,● 運転席,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ 加熱機能 (3200元),○ 加熱機能 (3200元),● 加熱機能,○ 加熱機能 (3200元),○ 加熱機能 (3200元),○ 加熱機能 (3200元),○ 加熱機能 (3200元),-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,-,-
座椅配置,シート装備,加热/制冷杯架,加熱/冷却カップホルダー,○ 加熱機能 (1600元),○ 加熱機能 (1600元),○ 加熱機能 (1600元),○ 加熱機能 (1600元),○ 加熱機能 (1600元),○ 加熱機能 (1600元),○ 加熱機能 (1600元),-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Bang & Olufsen (7200元),○ Bang & Olufsen (7200元),● Bang & Olufsen,○ Bang & Olufsen (7200元),○ Bang & Olufsen (7200元),● Bang & Olufsen,● Bang & Olufsen,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,10スピーカー 19スピーカー,10スピーカー 19スピーカー,● 19スピーカー,10スピーカー 19スピーカー,10スピーカー 19スピーカー,● 19スピーカー,● 19スピーカー,-,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,-,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,レジェンドブラック リズムブルー ナドグレー アコナホワイト,レジェンドブラック リズムブルー ナドグレー アコナホワイト,レジェンドブラック リズムブルー ナドグレー アコナホワイト,レジェンドブラック リズムブルー ナドグレー アコナホワイト,レジェンドブラック リズムブルー ナドグレー アコナホワイト,レジェンドブラック リズムブルー ナドグレー アコナホワイト,レジェンドブラック リズムブルー ナドグレー アコナホワイト,セイジョウグリーン ブラック ホワイト,-
颜色,カラー,内饰颜色,内装色,ブラック ブラック／ロックグレー,ブラック ブラック／ロックグレー ブラック／オーカピーブラウン ブラック／アラスレッド,ブラック ブラック／ロックグレー ブラック／オーカピーブラウン ブラック／アラスレッド,ブラック ブラック／ロックグレー,ブラック ブラック／ロックグレー ブラック／オーカピーブラウン ブラック／アラスレッド,ブラック ブラック／ロックグレー ブラック／オーカピーブラウン ブラック／アラスレッド,ブラック,ブラック,-
