セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 GLC 260 L 4MATIC スポーツタイプ,2025年モデル 改良版 GLC 260 L 4MATIC ラグジュアリータイプ,2025年モデル 改良版 GLC 300 L 4MATIC スポーツタイプ 5人乗り,2025年モデル 改良版 GLC 300 L 4MATIC スポーツタイプ 7人乗り,2025年モデル 改良版 GLC 300 L 4MATIC ラグジュアリータイプ 5人乗り,2025年モデル 改良版 GLC 300 L 4MATIC ラグジュアリータイプ 7人乗り
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○ （9000元）,○ （9000元）,○ （9000元）,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （3100元）,○ （3100元）,○ （3100元）,○ （3100元）,○ （3100元）,○ （3100元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席2個,● 前席3個／後席4個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 リクライニング 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター付き（2900元）,○ ヒーター（2900元）＋ベンチレーション（9700元）,○ ヒーター（2900元）＋ベンチレーション（9700元）,○ ヒーター（2900元）＋ベンチレーション（9700元）,○ ヒーター（2900元）＋ベンチレーション（9700元）,○ ヒーター（2900元）＋ベンチレーション（9700元）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,○ 前後調整 リクライニング,○ 前後調整 リクライニング,-,● 前後調整 リクライニング,-,● 前後調整 リクライニング
座椅配置,シート装備,座椅布局,シートレイアウト,○ 2-3-2,○ 2-3-2,-,● 2-3-2,-,● 2-3-2
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Burmester（ベルリンの音響）（8300元）,○ Burmester（ベルリンの音響）（8300元）,○ Burmester（ベルリンの音響）（8300元）,○ Burmester（ベルリンの音響）（8300元）,● Burmester（ベルリンの音響）,● Burmester（ベルリンの音響）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,7スピーカー 15スピーカー,7スピーカー 15スピーカー,7スピーカー 15スピーカー,7スピーカー 15スピーカー,● 15スピーカー,● 15スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,○,○,○,○,○,○
颜色,カラー,外观颜色,外装色,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー スペースシルバー マザーオブパールホワイト ￥6200 ミッドナイトブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー スペースシルバー マザーオブパールホワイト ￥6200 ミッドナイトブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー スペースシルバー マザーオブパールホワイト ￥6200 ミッドナイトブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー スペースシルバー マザーオブパールホワイト ￥6200 ミッドナイトブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー スペースシルバー マザーオブパールホワイト ￥6200 ミッドナイトブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー スペースシルバー マザーオブパールホワイト ￥6200 ミッドナイトブルー グリーングラベルシルバー
颜色,カラー,内饰颜色,内装色,ブラック ブラック／オーカー ブラウン オーカー ブラウン,ブラック ブラック／ファイアレッド ブラック／オーカー ブラウン オーカー ブラウン,ブラック ブラック／ファイアレッド ブラック／オーカー ブラウン オーカー ブラウン,ブラック ブラック／オーカー ブラウン オーカー ブラウン,ブラック ブラック／ファイアレッド ブラック／オーカー ブラウン オーカー ブラウン,ブラック ブラック／オーカー ブラウン オーカー ブラウン
选装包,オプションパッケージ,智享套装4,スマートパッケージ4,○ 含む：ラバー付きアルミ製サイドステップ、3列目シート オプション（10200元）,○ 含む：ラバー付きアルミ製サイドステップ、3列目シート オプション（10200元）,-,-,-,-
选装包,オプションパッケージ,智能领航辅助Max,インテリジェントナビアシストMax,○ 含む：レーンレベルナビ（サービス有効期間3年）、ナビ支援運転（サービス有効期間3年）、インテリジェントナビゲーションPro、アダプティブクルーズコントロール（ACC）、レーンキーピングアシスト（LKA）、レーンセンタリングコントロール（LCC）、予防安全システム－側面保護、交通標識支援システム、レーンチェンジアシスト、渋滞時自動走行、シーンに基づく速度調整 オプション（15700元）,○ 含む：レーンレベルナビ（サービス有効期間3年）、ナビ支援運転（サービス有効期間3年）、インテリジェントナビゲーションPro、アダプティブクルーズコントロール（ACC）、レーンキーピングアシスト（LKA）、レーンセンタリングコントロール（LCC）、予防安全システム－側面保護、交通標識支援システム、レーンチェンジアシスト、渋滞時自動走行、シーンに基づく速度調整 オプション（15700元）,○ 含む：レーンレベルナビ（サービス有効期間3年）、ナビ支援運転（サービス有効期間3年）、インテリジェントナビゲーションPro、アダプティブクルーズコントロール（ACC）、レーンキーピングアシスト（LKA）、レーンセンタリングコントロール（LCC）、予防安全システム－側面保護、交通標識支援システム、レーンチェンジアシスト、渋滞時自動走行、シーンに基づく速度調整 オプション（15700元）,○ 含む：レーンレベルナビ（サービス有効期間3年）、ナビ支援運転（サービス有効期間3年）、インテリジェントナビゲーションPro、アダプティブクルーズコントロール（ACC）、レーンキーピングアシスト（LKA）、レーンセンタリングコントロール（LCC）、予防安全システム－側面保護、交通標識支援システム、レーンチェンジアシスト、渋滞時自動走行、シーンに基づく速度調整 オプション（15700元）,○ 含む：レーンレベルナビ（サービス有効期間3年）、ナビ支援運転（サービス有効期間3年）、インテリジェントナビゲーションPro、アダプティブクルーズコントロール（ACC）、レーンキーピングアシスト（LKA）、レーンセンタリングコントロール（LCC）、予防安全システム－側面保護、交通標識支援システム、レーンチェンジアシスト、渋滞時自動走行、シーンに基づく速度調整 オプション（15700元）,○ 含む：レーンレベルナビ（サービス有効期間3年）、ナビ支援運転（サービス有効期間3年）、インテリジェントナビゲーションPro、アダプティブクルーズコントロール（ACC）、レーンキーピングアシスト（LKA）、レーンセンタリングコントロール（LCC）、予防安全システム－側面保護、交通標識支援システム、レーンチェンジアシスト、渋滞時自動走行、シーンに基づく速度調整 オプション（15700元）
选装包,オプションパッケージ,智享套装5,スマートパッケージ5,-,○ 含む：ファイアレッド／ブラック、前席エアコンシート、アルミ装飾入りブラックパンチングウッドトリム オプション（18300元）,○ 含む：ファイアレッド／ブラック、前席エアコンシート、アルミ装飾入りブラックパンチングウッドトリム オプション（18300元）,-,-,-
