セクション,セクション_ja,項目,項目_ja,2026年モデル 300TSI,2026年モデル 300TSI Pro,2026年モデル 300TSI Rライン,2025年モデル 300TSI,2025年モデル 300TSI Pro,2025年モデル 改良版 300TSI,2025年モデル 改良版 300TSI Rライン,2025年モデル 改良版 300TSI Pro,2025年モデル 改良版2 300TSI Rライン
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載システム用チップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し","● 車両状態確認／診断
● 車両位置特定／車探し"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,"● 合成皮革
○ 本革",● 合成皮革,● 本革,"● 合成皮革
○ 本革",● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,○,-,●,○,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,○,●,-,○,-,●,○,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○ （3000元）,○ （3000元）,-,○ （3000元）,-,○ （3000元）,○ （3000元）,○ （3000元）
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,-,● 前席,-,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革／ファブリックコンビ,● 合成皮革,● ファブリック,● 合成皮革／ファブリックコンビ,● ファブリック,● 合成皮革,● 合成皮革／ファブリックコンビ,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ○ ／ 助手席 - （1000元）,運転席 ● ／ 助手席,-,運転席 ○ ／ 助手席 - （1000元）,-,運転席 ● ／ 助手席,運転席 ○ ／ 助手席 - （1000元）,運転席 ● ／ 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"○ ヒーター（1000元）
○ ベンチレーション（3000元）","○ ヒーター（1000元）
○ ベンチレーション（2000元）",-,"○ ヒーター（1000元）
○ ベンチレーション（3000元）",-,"○ ヒーター（1000元）
○ ベンチレーション（2000元）","○ ヒーター（1000元）
○ ベンチレーション（3000元）","○ ヒーター（1000元）
○ ベンチレーション（2000元）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席,前席 ● ／ 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,○ Harman/Kardon（ハーマンカードン）（4000元）,○ Harman/Kardon（ハーマンカードン）（4000元）,-,○ Harman/Kardon（ハーマンカードン）（4000元）,-,○ Harman/Kardon（ハーマンカードン）（4000元）,○ Harman/Kardon（ハーマンカードン）（4000元）,○ Harman/Kardon（ハーマンカードン）（4000元）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 5スピーカー,"● 7スピーカー
○ 10スピーカー","● 7スピーカー
○ 10スピーカー",● 5スピーカー,"● 7スピーカー
○ 10スピーカー",● 5スピーカー,"● 7スピーカー
○ 10スピーカー","● 7スピーカー
○ 10スピーカー","● 7スピーカー
○ 10スピーカー"
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 30色,● 30色,-,● 10色,-,● 30色,● 10色,● 30色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,●,-,-,-,●,-,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,●,-,-,-,●,-,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,-,-,-,●,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,●,-,-,-,●,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●,-,-,-,●,-,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,高颜专属内饰包,高級専用内装パッケージ,-,-,-,-,○ オプション（価格未定）,-,-,○ オプション（価格未定）,-
选装包,オプションパッケージ,驾驶辅助包2,運転支援パッケージ2,-,-,-,-,○ オプション（3000元）,-,-,○ オプション（3000元）,-
选装包,オプションパッケージ,豪华音响包,ラグジュアリーサウンドパッケージ,-,-,-,-,○ オプション（4000元）,-,○ オプション（4000元）,○ オプション（4000元）,○ オプション（4000元）
选装包,オプションパッケージ,科技灯光包,テクノロジーライトパッケージ,-,-,-,-,○ オプション (5700元),-,-,○ オプション (5700元),-
选装包,オプションパッケージ,驾驶辅助包3,運転支援パッケージ3,-,-,-,-,○ オプション (6400元),-,-,○ オプション (6400元),-
选装包,オプションパッケージ,黑光包（17英寸车轮）,ブラックライトパッケージ（17インチホイール）,-,-,-,-,-,-,○ オプション（価格未定）,-,○ オプション（価格未定）
选装包,オプションパッケージ,黑光包（18英寸车轮）,ブラックライトパッケージ（18インチホイール）,-,-,-,-,-,-,○ オプション（価格未定）,-,○ オプション（価格未定）
选装包,オプションパッケージ,驾驶辅助包1,運転支援パッケージ1,-,-,-,-,-,-,○ オプション (2000元),-,○ オプション (2000元)
