セクション,セクション_ja,項目,項目_ja,2025年モデル 4WD 高山7,2025年モデル 4WD 高山8,2025年モデル 4WD 高山9,2025年モデル 高山 福祉版,2023年モデル 4WD 尊貴版
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,● 17.3インチ,● 17.3インチ,● 17.3インチ,● 17.3インチ,-
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 1個,● 1個,● 1個,-
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 24,● 24,● 24,● 24,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,-
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチ画面操作,●,●,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ画面,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 26インチ,● 26インチ,● 26インチ,● 26インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電端子,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席10個,● 前席3個／後席10個,● 前席3個／後席10個,● 前席3個／後席10個,● 前席3個／後席8個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源端子,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席調整方式,● 前後調整 リクライニング 高さ調整(4方向) 腰部サポート(4方向),● 前後調整 リクライニング 高さ調整(4方向) 腰部サポート(4方向),● 前後調整 リクライニング 高さ調整(4方向) 腰部サポート(4方向),● 前後調整 リクライニング 高さ調整(4方向) 腰部サポート(4方向),● 前後調整 リクライニング 高さ調整(4方向)
座椅配置,シート装備,副座椅调节方式,助手席調整方式,● 前後調整 リクライニング 高さ調整(2方向),● 前後調整 リクライニング 高さ調整(2方向) 腰部サポート(4方向),● 前後調整 リクライニング 高さ調整(2方向) 腰部サポート(4方向),● 前後調整 リクライニング 高さ調整(2方向) 腰部サポート(4方向),● 前後調整 リクライニング
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● 加熱 通風 マッサージ(運転席のみ) ヘッドレストスピーカー(運転席のみ),● 加熱 通風 マッサージ ヘッドレストスピーカー(運転席のみ),● 加熱 通風 マッサージ ヘッドレストスピーカー(運転席のみ),● 加熱 通風 マッサージ ヘッドレストスピーカー(運転席のみ),● 加熱 通風
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 リクライニング レッグレスト調整,● 前後調整 リクライニング レッグレスト調整,● 前後調整 リクライニング レッグレスト調整,● 前後調整 リクライニング レッグレスト調整,● 前後調整 リクライニング レッグレスト調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,加熱 通風 マッサージ,● 加熱 通風 マッサージ,● 加熱 通風 マッサージ,● 加熱 通風,● 加熱 通風
座椅配置,シート装備,福祉座椅,福祉シート,-,-,-,●,-
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●,-
座椅配置,シート装備,零重力座椅,ゼログラビティシート,○ 2列目 (8000元),● 2列目,● 2列目,-,● 2列目
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● 前後調整 リクライニング,● 前後調整 リクライニング,● 前後調整 リクライニング,● 前後調整 リクライニング,● 前後調整 リクライニング
座椅配置,シート装備,第三排座椅电动调节,3列目シート電動調整,-,●,●,●,-
座椅配置,シート装備,第三排座椅功能,3列目シート機能,-,-,● 加熱 通風,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3,● 2-2-3,● 2-2-2,● 2-2-2,● 2-2-3
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,-,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 64色,● 64色,● 64色,● 64色,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン制御,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,-
特色配置,特徴装備,动态星空穹顶,ダイナミックスターライトルーフ,-,-,○ (15000.00),-,-
颜色,カラー,外观颜色,外装色,ディープスペースブラック クモニシキホワイト チョウランセイ エンザンハイ,ディープスペースブラック リュウコウゴールド クモニシキホワイト ウソラハイ,ディープスペースブラック クモニシキホワイト ウソラハイ ボクヤリョク,ディープスペースブラック クモニシキホワイト ウソラハイ ボクヤリョク,ディープスペースブラック リュウコウゴールド クモニシキホワイト ウソラハイ
颜色,カラー,内饰颜色,内装色,クラウドホワイト カコウオレンジ ボクギョクブラック,クラウドホワイト カコウオレンジ ボクギョクブラック,クラウドホワイト カコウオレンジ ボクギョクブラック,カコウオレンジ,ブラック ブラック/オレンジ ブルー/ベージュ
选装包,オプションパッケージ,铝合金多辐溅镀轮辋,アルミ合金多本スポークメッキホイール,○ 含む：アルミ合金多本スポークメッキホイール オプション (2000元),-,-,-,-
选装包,オプションパッケージ,第二排零重力座椅套装,2列目ゼログラビティシートセット,○ 含む：2列目ゼログラビティシート＋2列目10点マッサージ連動オプション オプション (8000元),-,-,-,-
选装包,オプションパッケージ,航空座椅套装,エアラインシートセット,-,-,○ 含む：2列目航空シート＋2列目電動イージーエントリー＋3列目シート2方向電動レッグレスト＋読書灯（方向・明るさ調整可）連動オプション オプション (30000元),-,-
