セクション,セクション_ja,項目,項目_ja,2026年モデル 230Plus Huawei QianKun ADS SE版,2026年モデル 230Max Huawei QianKun ADS SE版,2026年モデル 230Ultra Huawei QianKun ADS SE版,2026年モデル 300Ultra Huawei QianKun ADS SE版,2026年モデル 550Max Huawei QianKun ADS SE版,2026年モデル 550Ultra Huawei QianKun ADS SE版,2025年モデル 215Plus Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 285Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 285Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 628Max Huawei QianKun Smart Drive ADS SE 純電版,2025年モデル 520Max Deep Blue Smart Drive AD PRO 純電版,2025年モデル 520Max Huawei QianKun Smart Drive ADS SE 純電版
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）,前●／後（エアバッグ）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像",● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● モノカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 10個,● 10個,● 10個,● 10個,● 10個,● 10個,● 5個,● 5個,● 5個,● 10個,● 10個,● 10個,● 5個,● 10個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,-,-,-,-,-,-,-,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 5個,● 5個,● 5個,● 3個,● 3個,● 3個,● 5個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Deepal AD PRO 深藍ドライバーアシスト,● Deepal AD PRO 深藍ドライバーアシスト,● Deepal AD PRO 深藍ドライバーアシスト,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Huawei 乾崑インテリジェントドライブ ADS SE,● Deepal AD PRO 深藍ドライバーアシスト,● Huawei 乾崑インテリジェントドライブ ADS SE
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,"● 高徳（Gaode）
● Huawei Petal","● 高徳（Gaode）
● Huawei Petal","● 高徳（Gaode）
● Huawei Petal",● 高徳（Gaode）,"● 高徳（Gaode）
● Huawei Petal"
驾驶功能,運転機能,AR实景导航,ARナビゲーション,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,運転機能,高精地图,高精度地図,●,●,●,●,●,●,-,-,-,●,●,●,-,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,●,●,●,●,-,-,-,○,○,○,-,○
驾驶功能,運転機能,循迹倒车,トレースバック機能,-,-,-,-,-,-,●,●,●,-,-,-,●,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,●,-,-,-,●,●,●,-,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,-,-,-,●,●,●,-,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",-,-,-,● 高速道路区間,● 高速道路区間,● 高速道路区間,-,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●,●,-,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,●,●,-,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,-,-,●,●,●,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"○ リモコンキー（599元）
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ／リストバンドキー","○ リモコンキー（599元）
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ／リストバンドキー","○ リモコンキー（599元）
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ／リストバンドキー","○ リモコンキー（599元）
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ／リストバンドキー","○ リモコンキー（599元）
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ／リストバンドキー","○ リモコンキー（599元）
● Bluetoothキー
● NFC/RFIDキー
● スマートウォッチ／リストバンドキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー","○ リモコンキー（399元）
● Bluetoothキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,-,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,-,-,●,●,-,●,-,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,-,-,-,-,-,-,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ
屏幕/系统,ディスプレイ・システム,向日葵旋转屏,ヒマワリ回転画面,-,-,●,●,-,●,-,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,●,●,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍,● こんにちは、深藍
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声無起動ワード対応,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,-,-,-,-,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS
