セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T 2WD スタート版,2026年モデル 2.0T 4WD 尊享版,2026年モデル 2.0T 4WD 尊逸版,2026年モデル 2.0T 4WD 尊睿版,2026年モデル 2.0T 4WD 総裁版,2026年モデル 2.0T 4WD 尊逸 ハイブリッド版,2026年モデル 2.0T 4WD 尊睿 ハイブリッド版,2026年モデル 2.0T 4WD 大統領 ハイブリッド版,2025年モデル 改良版 2.0T 4WD 尊享版,2025年モデル 改良版 2.0T 4WD 尊逸版,2025年モデル 2.0T 4WD 尊睿版,2025年モデル 2.0T 4WD アトランティス版,2025年モデル 改良版 2.0T 4WD 尊逸 ハイブリッド版,2025年モデル 2.0T 4WD 尊睿 ハイブリッド版,2025年モデル 2.0T 4WD 大統領 ハイブリッド版
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,-,● リンカーン ブルークルーズ,● リンカーン ブルークルーズ,-,● リンカーン ブルークルーズ,● リンカーン ブルークルーズ,-,-,● リンカーン ブルークルーズ,● リンカーン ブルークルーズ,-,● リンカーン ブルークルーズ,● リンカーン ブルークルーズ
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,-,-,-,●,-,-,●,●,-,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,-,●,●,-,●,●,-,-,●,●,-,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,● 高速道路区間,● 高速道路区間,-,● 高速道路区間,● 高速道路区間,-,-,● 高速道路区間,● 高速道路区間,-,-,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・ブルートゥースキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・ブルートゥースキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキーエントリー,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特長機能,-,-,-,-,● ピクセル式,-,-,● ピクセル式,-,-,-,● ピクセル式,-,-,● ピクセル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,-,●,-,-,●,-,-,-,●,-,-,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,-,-,●,-,-,●,-,-,-,●,-,-,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目機能付き
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ,● 11.1インチ 23.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED,● OLED
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）,● ハロー、リンカーン（音声認識システム）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後部座席液晶画面,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後部座席液晶画面サイズ,-,-,-,-,-,-,● 5.8インチ,● 5.8インチ,-,-,-,-,-,● 5.8インチ,● 5.8インチ
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後部座席マルチメディア画面数,-,-,-,-,-,-,● 1個,● 1個,-,-,-,-,-,● 1個,● 1個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後部座席マルチメディア操作,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 エアコン操作 ステアリングヒーター 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 ステアリングヒーター シートヒーター シートベンチレーション 車両状態確認・診断 車両位置特定・車両探索
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,●,●,-,●,●,-,-,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ,● 23.6インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,● 前席,● 前席,-,● 前席,● 前席,-,-,● 前席,● 前席,-,● 前席,● 前席
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 合成皮革,● レザー／スエード素材コンビネーション,● レザー／スエード素材コンビネーション,● 合成皮革,● 合成皮革,● 本革,● レザー／スエード素材コンビネーション,● 合成皮革,● レザー／スエード素材コンビネーション,● レザー／スエード素材コンビネーション
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）
