セクション,セクション_ja,項目,項目_ja,2026年モデル 第4世代 1.5T 500Bar 劲享型,2026年モデル 第4世代 1.5T 500Bar 悦享型,2026年モデル 第4世代 1.5T 500Bar 智享型,2025年モデル PLUS 1.5L MT 豪華版,2025年モデル PLUS 1.4T DCT ハイパフォーマンス版,2025年モデル ブルーホエール 1.5T ハイパフォーマンス版,2025年モデル ブルーホエール 1.5T 500Bar プレミアム型,2025年モデル ブルーホエール 1.5T 500Bar フラッグシップ型,2024年モデル PLUS ブルーホエールNE 1.4T GDI DCT ハイパフォーマンス版,2024年モデル 1.5T GDI AT 快適享受版,2024年モデル 1.5T GDI AT プレミアム型,2024年モデル 1.5T GDI AT フラッグシップ型
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 全車,● 全車,● 全車,-,● 全車,● 運転席,● 全車,● 全車,● 全車,● 運転席,● 運転席,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,-,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,-,-,○ 前席,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,● 速度感応式,● 速度感応式,● 速度感応式,-,-,-,● 速度感応式,● 速度感応式,-,-,● 速度感応式,● 速度感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・ドアミラー加熱,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・ドアミラー加熱,● 電動調整・ドアミラー加熱,● 電動調整・ドアミラー加熱,● 電動調整・ドアミラー加熱,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納,● 電動調整・ドアミラー加熱,● 電動調整・ドアミラー加熱,● 電動調整・ドアミラー加熱,● 電動調整・電動格納・ドアミラー加熱・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 7インチ,● 10.25インチ,● 13.2インチ,● 13.2インチ,● 13.2インチ,● 10.25インチ,● 13.2インチ,● 13.2インチ,● 13.2インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● 純正連携/ミラーリング,● HUAWEI HiCar対応・Carlink対応,●,●,●,● 純正連携/ミラーリング,● 純正連携/ミラーリング,● 純正連携/ミラーリング,● 純正連携/ミラーリング
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,-,-,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,-,-,●,●,●,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● 天枢OS,● 天枢OS,● 天枢OS,-,-,-,-,-,-,● 讯飞飞鱼OS,● 讯飞飞鱼OS,● 讯飞飞鱼OS
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 8,● 8,● 8,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 64,● 64,● 64,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,屏幕刷新率[Hz],画面リフレッシュレート[Hz],● 60,● 60,● 60,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチスクリーン操作,-,-,●,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,-,●,●,●,●,-,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・車両状態確認/診断・車両位置特定/車両探索,-,○ エアコン操作,● ドア操作・エンジン始動・車両状態確認/診断・車両位置特定/車両探索・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・点検/整備予約,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・点検/整備予約,○ エアコン操作,● ドア操作・エンジン始動・車両状態確認/診断・車両位置特定/車両探索・点検/整備予約,● ドア操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・点検/整備予約,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・点検/整備予約
智能化配置,スマート機能装備,车载KTV,車載カラオケ機能,●,●,●,-,-,○,○,○,-,○,○,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 機械式シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,●,-,-,-,-,●,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-,-,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 10W,● 10W,● 10W,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,-,-,-,-,● 前席,-,-,-,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,● 運転席 / 助手席,-,-,-,-,● 運転席 / 助手席,-,-,-,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● 運転席のみヒーター・ベンチレーション,● ヒーター・ベンチレーション,● ヒーター・ベンチレーション,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,-,● 一体可倒式,-,● 分割可倒式,-,-,-,● 分割可倒式,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 4スピーカー,● 6スピーカー,● 2スピーカー,● 6スピーカー,● 6スピーカー,● 4スピーカー,● 2スピーカー,● 4スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,-,-,-,-,-,-,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 多色,● 多色,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,-,●,-,●,●,●,-,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,アンデスグレー、シャイニングアイスホワイト、イツサイブルー,アンデスグレー、シャイニングアイスホワイト、イツサイブルー,アンデスグレー、シャイニングアイスホワイト、イツサイブルー,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト、ヤオドンレッド、トルマリンブラック,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト、ヤオドンレッド、トルマリンブラック,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト、ヤオドンレッド,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト、ヤオドンレッド、ユンシャンリョク,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト、ヤオドンレッド、ユンシャンリョク,アンデスグレー、チタンシルバーグレー、シャイニングアイスホワイト、ヤオドンレッド、ユンシャンリョク
颜色,カラー,内饰颜色,内装色,ミステリーレッド、ゴールドブラック、パープルホワイト,ミステリーレッド、ゴールドブラック、パープルホワイト,ミステリーレッド、ゴールドブラック、パープルホワイト,スターリーブラック,ブラック／ネビュラレッド,エレガントブラック,エレガントブラック,エレガントブラック、シャティレッド,ブラック／ネビュラレッド,エレガントブラック,エレガントブラック,エレガントブラック、シャティレッド
选装包,オプションパッケージ,选装包1,オプションパッケージ1,-,-,○ 含む：ウィンドコントロール電動リアスポイラー、前席二重防音ガラス（オプション 3399元）,-,-,-,-,-,-,-,-,-
