セクション,セクション_ja,項目,項目_ja,2026年モデル B4 智逸豪華版,2026年モデル B4 智遠豪華版,2026年モデル B4 智遠スポーツ版,2026年モデル B5 智雅スポーツ版,2025年モデル B4 智逸豪華版,2025年モデル B4 智遠豪華版,2025年モデル B4 智遠スポーツ版,2025年モデル B5 智雅スポーツ版
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○,○,○,○,○,○,○,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,● 前席,-,-,-,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 本革,● 革／ファブリックコンビ,● 革／ファブリックコンビ,● 合成皮革,● 本革,● 革／ファブリックコンビ,● 革／ファブリックコンビ
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,●,●,-,-,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
○ サイドサポート","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター,"○ ヒーター
○ ベンチレーション",○ ヒーター,● ヒーター,○ ヒーター,"○ ヒーター
○ ベンチレーション",○ ヒーター,● ヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席",● 運転席,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター,○ ヒーター,○ ヒーター,○ ヒーター,○ ヒーター,○ ヒーター,○ ヒーター,○ ヒーター
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Harman/Kardon（ハーマンカードン）（8800元）,"○ Harman/Kardon（ハーマンカードン）（8800元）
○ Bowers & Wilkins（バウワーズ＆ウィルキンス）（2.58万元）","○ Harman/Kardon（ハーマンカードン）（8800元）
○ Bowers & Wilkins（バウワーズ＆ウィルキンス）（2.58万元）","● Harman/Kardon（ハーマンカードン）
○ Bowers & Wilkins（バウワーズ＆ウィルキンス）（1.70万元）",○ Harman/Kardon（ハーマンカードン）（8800元）,"○ Harman/Kardon（ハーマンカードン）（8800元）
○ Bowers & Wilkins（バウワーズ＆ウィルキンス）（2.58万元）","○ Harman/Kardon（ハーマンカードン）（8800元）
○ Bowers & Wilkins（バウワーズ＆ウィルキンス）（2.58万元）","● Harman/Kardon（ハーマンカードン）
○ Bowers & Wilkins（バウワーズ＆ウィルキンス）（1.70万元）"
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 10スピーカー
○ 14スピーカー","● 10スピーカー
○ 14スピーカー
○ 15スピーカー","● 10スピーカー
○ 14スピーカー
○ 15スピーカー","● 14スピーカー
○ 15スピーカー","● 10スピーカー
○ 14スピーカー","● 10スピーカー
○ 14スピーカー
○ 15スピーカー","● 10スピーカー
○ 14スピーカー
○ 15スピーカー","● 14スピーカー
○ 15スピーカー"
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,○,●,●,●,○,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,○,●,●,●,○,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,○,●,●,●,○,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,冬季选装包,冬季オプションパッケージ,○ オプション（3000元）,○ オプション（3000元）,○ オプション（3000元）,○ オプション（3000元）,-,-,-,-
选装包,オプションパッケージ,冬季选装包4,冬季オプションパッケージ4,-,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,-
选装包,オプションパッケージ,冬季选装包3,冬季オプションパッケージ3,-,-,-,-,-,-,-,○ オプション（価格未定）
