セクション,セクション_ja,項目,項目_ja,2026年モデル ルーゾン 知享版,2026年モデル ルーゾン 尊享版,2026年モデル ルーゾン 贅享版,2025年モデル ルーシャン 先享版 7人乗り,2025年モデル ルーシャン 知享版 7人乗り,2025年モデル ルーシャン 尊享版 7人乗り,2024年モデル ルーゾン 知享版 7人乗り,2024年モデル ルーゾン 尊享版 7人乗り,2024年モデル ルーゾン 贅享版 7人乗り,2024年モデル ルーゾン 贅享版 6人乗り
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,-,-,-,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,●,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面窓多層防音ガラス,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後部側面窓サンシェード,-,● 手動,● 手動,-,-,-,-,● 手動,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,-,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 30インチ,● 30インチ,● 30インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 30インチ,● 30インチ,● 30インチ,● 30インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 6K,● 6K,● 6K,-,-,-,● 6K,● 6K,● 6K,● 6K
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 200PPI,● 200PPI,● 200PPI,-,-,-,● 200PPI,● 200PPI,● 200PPI,● 200PPI
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック,● こんにちは、ビュイック
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,-,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect,● ビュイックeConnect
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載インテリジェントチップ,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,-,-,-,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後部液晶画面,●,●,●,-,-,●,-,○,○,○
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後部液晶画面サイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,-,-,● 15.6インチ,-,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後部マルチメディア画面数,● 1個,● 1個,● 1個,-,-,● 1個,-,○ 1個,○ 1個,○ 1個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後部マルチメディア操作,●,●,●,-,-,●,-,○,○,○
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 5G,● 4G,● 4G,● 4G,● 4G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● プラスチック,● レザー,● レザー,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューター表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,-,-,-,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター,● 自動防眩目 ミラーモニター
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席4個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 45W,● 45W,● 45W,-,-,-,● 45W,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 後席,● 前席 後席,● 前席 後席,-,-,● 前席,-,● 前席 後席,● 前席 後席,● 前席 後席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,-,● 50W,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● 加熱 通気 マッサージ（運転席のみ）,● 加熱 通気 マッサージ（運転席のみ）,● 加熱 通気 マッサージ（運転席のみ）,-,-,● 加熱 通気,● 加熱 通気,● 加熱 通気,● 加熱 通気,● 加熱 通気
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 運転席,● 運転席,-,-,-,-,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,-,-,●,-,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整 腰部調整 レッグレスト調整,● 前後調整 リクライニング調整 腰部調整 レッグレスト調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整 レッグレスト調整,● 前後調整 リクライニング調整 腰部調整,● 前後調整 リクライニング調整 腰部調整 レッグレスト調整,● 前後調整 リクライニング調整 腰部調整 レッグレスト調整,● 前後調整 リクライニング調整 腰部調整 レッグレスト調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,-,-,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● 加熱 通気,● 加熱 通風 マッサージ,● 加熱 通風 マッサージ,-,-,● 加熱 通気,● 加熱 通気,● 加熱 通気,● 加熱 通風 マッサージ,● 加熱 通風 マッサージ
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,-,-,●,●,●,●,●
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,● 前後調整 リクライニング調整
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,●,-,-,-,-,●,●,●
座椅配置,シート装備,第三排座椅功能,3列目シート機能,-,-,-,-,-,-,-,-,-,● 加熱 通気
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-2
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,-
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,-,-,-,-,●,●,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,前后移动扶手箱,前後スライドアームレストボックス,-,-,-,-,-,-,-,○,○,○
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,● BOSE（ボーズ）,● BOSE（ボーズ）,-,-,-,-,● BOSE（ボーズ）,● BOSE（ボーズ）,● BOSE（ボーズ）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 12スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 単色,● 単色,● 128色,-,-,● 単色,● 単色,● 単色,● 128色,● 128色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,●,●,●,●,●,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,-,-,-,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,-,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,●,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,●,●,●,-,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●,-,-,-,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,-,-,-,-,○ （2500元）,○ （2500元）,○ （2500元）
颜色,カラー,外观颜色,外装色,オーロラシルバー パールホワイト 紫気東来,オーロラシルバー パールホワイト 紫気東来,オーロラシルバー パールホワイト 紫気東来,オーロラシルバー パールホワイト 沧海ブルー 玄玉墨,オーロラシルバー パールホワイト 沧海ブルー 玄玉墨,オーロラシルバー パールホワイト 沧海ブルー 玄玉墨,オーロラシルバー 宝石レッド パールホワイト,オーロラシルバー 宝石レッド パールホワイト,オーロラシルバー 宝石レッド パールホワイト 帝王ブルー,オーロラシルバー パールホワイト 帝王ブルー
颜色,カラー,内饰颜色,内装色,霞灰月黛（かがはいげつたい）,霞紫月白／ホワイト,霞紫月白／ホワイト,林深ブラウン 煙霞グレー 雲柔ベージュ,林深ブラウン 煙霞グレー 雲柔ベージュ,林深ブラウン 煙霞グレー 雲柔ベージュ,玄武月白（げんぶげっぱく）,玄武月白（げんぶげっぱく）,黛ブルー／月白 玄武月白,黛ブルー／月白
