セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T DCT 旗悦版,2025年モデル 1.5T DCT 旗韵版,2025年モデル 2.0T AT 旗享版,2025年モデル 2.0T AT 旗畅版,2025年モデル 2.0T AT 旗领版,2025年モデル 1.5T DCT 玄影200万台記念版,2025年モデル 2.0T AT 玄影200万台記念版
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,加熱 通風 (1100元),加熱 通風 (1100元),● 加熱 通風,● 加熱 通風 マッサージ（運転席のみ）,加熱 通風 (1100元),● 加熱 通風
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,● 運転席,● 運転席,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,● 加熱,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,● Dynaudio（ダイナオーディオ）,● Dynaudio（ダイナオーディオ）,● Dynaudio（ダイナオーディオ）,-,● Dynaudio（ダイナオーディオ）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 6スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 253色,● 253色,● 253色,● 253色,● 253色,● 253色,● 253色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,●,●,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,●,●,●,-,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,●,●,-,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,-,●,-,-
颜色,カラー,外观颜色,外装色,魅夜ブラック 高山ホワイト クォンタムシルバーグレー,魅夜ブラック 高山ホワイト クォンタムシルバーグレー,魅夜ブラック 高山ホワイト クォンタムシルバーグレー,魅夜ブラック 高山ホワイト クォンタムシルバーグレー,魅夜ブラック 高山ホワイト クォンタムシルバーグレー,魅夜ブラック,魅夜ブラック
颜色,カラー,内饰颜色,内装色,グラファイトブラック,グラファイトブラック グラファイトブラック／ザクロレッド,グラファイトブラック グラファイトブラック／ザクロレッド,グラファイトブラック グラファイトブラック／ザクロレッド,グラファイトブラック グラファイトブラック／ザクロレッド,グラファイトブラック グラファイトブラック／ザクロレッド,グラファイトブラック グラファイトブラック／ザクロレッド
