セクション,セクション_ja,項目,項目_ja,2026年モデル 450TSI 4WD 至尊 7人乗り,2026年モデル 450TSI 4WD 至尊 6人乗り,2026年モデル 450TSI 4WD フラッグシップ 7人乗り,2026年モデル 450TSI 4WD フラッグシップ 6人乗り,2025年モデル 380TSI 4WD 豪華佳境Pro みんなで楽しむ 6人乗り,2025年モデル 380TSI 4WD 豪華佳境Pro みんなで楽しむ 7人乗り
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両検索 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両検索 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両検索 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両検索 点検/整備予約,● ドア操作 車両状態確認/診断 車両位置特定/車両検索,● ドア操作 車両状態確認/診断 車両位置特定/車両検索
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○,○,○,○,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,"○ （6,000元）","○ （6,000元）",●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席6個,● 前席2個／後席4個,● 前席2個／後席6個,● 前席5個／後席6個,● 前席5個／後席4個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 45W,● 45W,● 45W,● 45W,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前列シート,● 前列シート,● 前列シート,● 前列シート,● 前列シート,● 前列シート
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 40W,● 40W,● 40W,● 40W,● 15W,● 15W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ 加熱・通風（3000元）,○ 加熱・通風（3000元）,加熱・通風,加熱・通風,○ 加熱・通風,○ 加熱・通風
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整、リクライニング調整,前後調整、リクライニング調整、ランバー調整,● 前後調整、リクライニング調整,前後調整、リクライニング調整、ランバー調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,●,-,●,●,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ 加熱,○ 加熱・通風・マッサージ,○ 加熱,○ 加熱・通風・マッサージ,○ 加熱・通風・マッサージ,○ 加熱
座椅配置,シート装備,第二排独立座椅,2列目独立シート,-,●,-,●,●,-
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-3-2（座席配列）,● 2-2-2（座席配列）,● 2-3-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-3-2（座席配列）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Harman/Kardon（ハーマンカードン）（6000元）,○ Harman/Kardon（ハーマンカードン）（6000元）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,9スピーカー、12スピーカー,9スピーカー、12スピーカー,● 12スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 30色展開,● 30色展開,● 30色展開,● 30色展開,● 30色展開,● 30色展開
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,マンガンブラック、パールホワイト（￥2000）、スカイブルー、ブラック/パールホワイト、シャドウグリーン、ドーンブルー、ブラック/ドーンブルー、ブラック/シャドウグリーン,マンガンブラック、パールホワイト（￥2000）、スカイブルー、ブラック/パールホワイト、シャドウグリーン、ドーンブルー、ブラック/ドーンブルー、ブラック/シャドウグリーン,マンガンブラック、パールホワイト（￥2000）、スカイブルー、ブラック/パールホワイト、シャドウグリーン、ドーンブルー、ブラック/ドーンブルー、ブラック/シャドウグリーン,マンガンブラック、パールホワイト（￥2000）、スカイブルー、ブラック/パールホワイト、シャドウグリーン、ドーンブルー、ブラック/ドーンブルー、ブラック/シャドウグリーン,マンガンブラック、パールホワイト、スカイブルー,マンガンブラック、パールホワイト、スカイブルー
颜色,カラー,内饰颜色,内装色,ブラック、ブラック/ブラウン,ブラック、ブラック/ブラウン,ブラック、ブラック/グレー,ブラック、ブラック/グレー,ブラック、ブラック/グレー、ブラウン/ベージュ,ブラック、ブラック/グレー、ブラウン/ベージュ
选装包,オプションパッケージ,双色车身,ツートンボディ,○ 含む：ツートンボディ（ブラックルーフ）オプション（2000元）,○ 含む：ツートンボディ（ブラックルーフ）オプション（2000元）,○ 含む：ツートンボディ（ブラックルーフ）オプション（2000元）,○ 含む：ツートンボディ（ブラックルーフ）オプション（2000元）,○ 含む：ツートンボディ（ブラックルーフ）オプション（2000元）,○ 含む：ツートンボディ（ブラックルーフ）オプション（2000元）
选装包,オプションパッケージ,车内加热包,車内ヒーターパッケージ,○ 含む：前席シートヒーター、第二列シートヒーター、ステアリングヒーター オプション（3500元）,○ 含む：前席シートヒーター、第二列シートヒーター、ステアリングヒーター オプション（3500元）,○ 含む：前席シートヒーター、第二列シートヒーター、ステアリングヒーター オプション（3500元）,○ 含む：前席シートヒーター、第二列シートヒーター、ステアリングヒーター オプション（3500元）,-,-
选装包,オプションパッケージ,高级大灯包2,高級ヘッドライトパッケージ2,○ 含む：IQ.Lightマトリックスヘッドライト、MDFSインテリジェントダイナミックライトアシスト、AFSヘッドライトステアリング連動機能、フロント貫通型二重LEDライトバー オプション（8000元）,○ 含む：IQ.Lightマトリックスヘッドライト、MDFSインテリジェントダイナミックライトアシスト、AFSヘッドライトステアリング連動機能、フロント貫通型二重LEDライトバー オプション（8000元）,-,-,-,-
选装包,オプションパッケージ,躺赢包A,リラックスパッケージA,-,○ 含む：6座レイアウト、前席シートベンチレーション、第二列シートベンチレーション、第二列エグゼクティブシートマッサージ、第二列電動ランバーサポート、Exclusive専用エンブレム オプション（6666元）,-,-,-,-
选装包,オプションパッケージ,躺赢包B,リラックスパッケージB,-,-,-,○ 含む：第二列エグゼクティブシートベンチレーション、マッサージ、電動ランバーサポート、Exclusive専用エンブレム オプション（5666元）,-,-
选装包,オプションパッケージ,躺赢包1,リラックスパッケージ1,-,-,-,-,○ 含む：第二列エグゼクティブシート高機能ベンチレーション・マッサージ、専用Exclusiveエンブレム、前席シートベンチレーション オプション（価格未定）,-
选装包,オプションパッケージ,座椅通风包,シートベンチレーションパッケージ,-,-,-,-,○ 含む：前席シートベンチレーション オプション（価格未定）,○ 含む：前席シートベンチレーション オプション（価格未定）
选装包,オプションパッケージ,冬季包,ウィンターパッケージ,-,-,-,-,○ 含む：フロントガラスヒーター、フロントワイパーノズルヒーター オプション（3000元）,○ 含む：フロントガラスヒーター、フロントワイパーノズルヒーター オプション（3000元）
选装包,オプションパッケージ,座椅加热包,シートヒーターパッケージ,-,-,-,-,○ 含む：前席シートヒーター、第二列シートヒーター オプション（3000元）,○ 含む：前席シートヒーター、第二列シートヒーター オプション（3000元）
选装包,オプションパッケージ,高级大灯包1,高級ヘッドライトパッケージ1,-,-,-,-,○ 含む：高級フルLEDヘッドライト、MDFSインテリジェントダイナミックライトアシスト、AFSヘッドライトステアリング連動機能 オプション（8000元）,○ 含む：高級フルLEDヘッドライト、MDFSインテリジェントダイナミックライトアシスト、AFSヘッドライトステアリング連動機能 オプション（8000元）
