セクション,セクション_ja,項目,項目_ja,2025年モデル 4ドア版 進階モデル,2025年モデル 4ドア版 プレミアムモデル,2025年モデル 4ドア版 プレミアム＋モデル,2024年モデル 第3世代 120km,2024年モデル 第3世代 170km,2024年モデル 第3世代 215km ヤングモデル,2024年モデル 第3世代 215km 進階モデル,2022年モデル ライトモデル 三元リチウム,2022年モデル ライトモデル リン酸鉄リチウム,2022年モデル フリースタイルモデル 三元リチウム,2022年モデル フリースタイルモデル リン酸鉄リチウム,2022年モデル エンジョイモデル 三元リチウム,2022年モデル エンジョイモデル リン酸鉄リチウム,2022年モデル マカロンファッションモデル 三元リチウム,2022年モデル マカロンファッションモデル リン酸鉄リチウム,2022年モデル マカロンプレミアムモデル 三元リチウム,2022年モデル マカロンプレミアムモデル リン酸鉄リチウム,2022年モデル マカロンカラフルモデル 三元リチウム,2022年モデル マカロンカラフルモデル リン酸鉄リチウム,2022年モデル マカロンペイントモデル 三元リチウム,2022年モデル マカロンペイントモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km シティウィンド限定版,2022年モデル GAMEBOY 200km レースレンジャー限定版,2022年モデル GAMEBOY 300km シティウィンド限定版,2022年モデル GAMEBOY 300km レースレンジャー限定版,2022年モデル オープンカー版
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動,● リア配置・後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● リジッドアクスル非独立サスペンション,● リジッドアクスル非独立サスペンション,● リジッドアクスル非独立サスペンション,● マルチリンク非独立サスペンション,● リジッドアクスル非独立サスペンション,● リジッドアクスル非独立サスペンション,● リジッドアクスル非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,● ディスク式,● ディスク式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 手動サイドブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,-,-,-,-,-,-,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪,● 前輪 / 後輪
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,-,-,-,-,-,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 1個,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 2個,● 2個,● 2個,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール,● スチール
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 運転席,● 運転席,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,ハロゲン LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● LED,● LED,● ハロゲン,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,ハロゲン LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● LED,● LED,● ハロゲン,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-,-,-,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートレインセンサー（感応式ワイパー）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,-,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,-,● タッチ液晶画面,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,-,● 8インチ,● 8インチ,-,● 8インチ,-,● 8インチ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,-,-,-,-,-,-,-,-,-,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,○ マルチメディアシステム ナビ 電話,-
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 充電管理 ライト操作 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 エンジン始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 ライト操作 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 ライト操作 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 ライト操作 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 ライト操作 車両状態確認/診断 車両位置特定/車両探索,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断,● 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索,● 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索,● ドア操作 充電管理 車両状態確認/診断 車両位置特定/車両探索
